visitor_zip,visitorzip_lat,visitorzip_lon,qpartysize25,qpartysize50,qpartysize75,qleadt25,qleadt50,qleadt75,qdur25,qdur50,qdur75,qdist25,qdist50,qdist75,res_count,sum_dur,sum_persnight
48360,42.745454,-83.27304,2,4,5,6,46,134,1,2,4,316.68,662.03,1876.06,152,450,1851
48361,42.7845,-83.2397,1,1,1,0,0,0,1,1,1,1044.86,1044.86,1044.86,1,1,1
48362,42.777434,-83.270264,2,4,6,3,26.5,119,2,3,4,295.83,688.53,1786.68,226,770,3567
48363,42.769698,-83.159413,2,5,10,2.25,28,145.5,2,3,3,321.52,787.4,2239.55,71,196,2116
48366,42.8215,-83.1503,1.75,2,2.25,2,14,31.5,1,3,3.5,976.67,976.67,3122.68,9,28,50
48367,42.843706,-83.141601,2,3,4,0,2,83,1,3,4,317.03,1172.65,1789.05,70,207,739
48370,42.838249,-83.200787,2,2,4,0,10.5,38,1,2,3,313.85,797.8,1429.25,42,92,356
48371,42.85347,-83.287209,2,3,5,8,37,117.5,2,2,4,307.53,375.23,1508.93,321,944,4015
48374,42.469477,-83.524426,2,4,5,6,28,137.2,1,2,4,325.51,756.17,2233.98,149,372,1573
48375,42.463606,-83.464862,2,4,6,8,47.5,136,1,2,3,329.12,627.11,2423.17,262,660,3243
48377,42.505064,-83.479508,2,3,5,4,24,84,1,2,3,214.77,624.72,2237.79,150,351,1813
48380,42.576853,-83.66785,2,4,5,3,23,83,2,3,5,308.82,698.81,1843.42,190,627,2352
48381,42.559166,-83.605813,2,4,6,7,47,146.2,1.2,3,4,287.01,632.83,1848.51,325,921,4298
48382,42.584792,-83.500822,2,3,5,5,26,96,1,2,3,316.94,638.55,1557,268,676,2568
48383,42.655596,-83.529724,2,4,6,5.5,31,95.5,2,3,4,197.87,462.42,788.71,152,472,2318
48386,42.659479,-83.478481,2,2,4,2,20,140.8,1,3,4,311.94,603.68,1477.62,239,787,3596
48387,42.6148,-83.4467,1.5,2,2.5,0.5,2.5,72,2,3.5,4.5,768.15,786.73,805.3,4,13,25
48390,42.552924,-83.482164,2,3,5,4,24,69,1,2,3,222.44,401.82,1137.13,203,569,2386
48391,42.5378,-83.4815,6,6,6,15,15,15,1,1,1,644.98,644.98,644.98,1,1,6
48393,42.518829,-83.549144,2,4,6,7,34,136,2,2,4,244.35,397.86,932.52,160,491,2401
48397,42.4776,-83.0276,6,8,20,20,49,122,3,3,4,330.67,432.09,489.6,10,34,405
48401,43.345032,-82.669878,2,2,2,0,184,184,3,7.5,14,1841.12,1841.12,1846.1,18,148,300
48410,43.5707,-82.9563,7,7,7,14,14,14,2,2,2,285.69,285.69,285.69,1,2,14
48411,42.9379,-83.5347,11,11,11,-1,-1,-1,2,2,2,166.52,166.52,166.52,1,2,22
48412,43.063054,-83.167744,2,2,4,0,8,82,1,2,4,156.83,357.19,1204.65,70,221,987
48413,43.787822,-82.991111,2,2,3,0,14.5,77,1,2,4.5,423.03,1155.2,1896.79,44,147,397
48414,42.858322,-84.063282,2,2,3,0,5,18.5,1,2,3.2,425.11,1148.64,1840.97,29,67,172
48415,43.278711,-83.807263,2,4,6,2.5,19,131,2,3.5,7,129.35,129.35,558.06,92,436,2095
48416,43.226899,-82.989336,2,2,2,0,7,10.8,2,4,12.5,1184.44,1634.33,1634.33,25,187,375
48417,43.264049,-83.944849,2,2,5,24,107,157.2,1,3,5.2,210.81,237.26,312.57,25,88,408
48418,42.804592,-83.9817,2,3,5,9,26.5,45,1,3,3,183.46,363.35,861.08,58,157,571
48419,43.43376,-82.660837,3.75,8,8,12.5,39,135.8,3,3,3.8,135.51,135.51,366.54,7,21,133
48420,43.174891,-83.706318,2,4,10,0,19,99,2,3,4,140.2,258.2,1144.59,294,1086,4645
48421,43.148208,-83.383007,2,3,5,0,36,132,1.5,3,5,280.05,766.56,1213.02,124,499,1820
48422,43.257012,-82.648682,2,2,4,0,118.5,183,2,5,8,283.09,1245.93,1831.24,108,634,2168
