,B06009_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B14005_001E,B14005_002E,B14005_003E,B14005_004E,B14005_005E,B14005_006E,B14005_007E,B14005_008E,B14005_009E,B14005_010E,B14005_011E,B14005_012E,B14005_013E,B14005_014E,B14005_015E,B14005_016E,B14005_017E,B14005_018E,B14005_019E,B14005_020E,B14005_021E,B14005_022E,B14005_023E,B14005_024E,B14005_025E,B14005_026E,B14005_027E,B14005_028E,B14005_029E,zip code tabulation area
0,,,,,,,1141,625,449,0,53,396,176,96,0,46,50,80,0,0,80,516,480,0,22,458,36,18,0,0,18,18,0,0,18,00601
1,,,,,,,2568,1344,1035,50,200,785,309,118,0,62,56,191,15,58,118,1224,1117,35,275,807,107,72,0,0,72,35,0,15,20,00602
2,,,,,,,3159,1571,1371,58,115,1198,200,106,24,44,38,94,10,0,84,1588,1332,92,96,1144,256,176,9,9,158,80,0,7,73,00603
3,,,,,,,363,196,160,11,0,149,36,26,0,0,26,10,0,0,10,167,153,0,0,153,14,0,0,0,0,14,0,0,14,00606
4,,,,,,,1812,891,628,20,28,580,263,142,0,0,142,121,23,33,65,921,758,35,0,723,163,148,11,0,137,15,0,0,15,00610
5,,,,,,,4179,2162,1705,33,64,1608,457,242,42,83,117,215,0,52,163,2017,1777,25,116,1636,240,136,16,14,106,104,0,0,104,00612
6,,,,,,,659,349,272,0,16,256,77,63,34,10,19,14,0,0,14,310,279,38,0,241,31,31,0,0,31,0,0,0,0,00616
7,,,,,,,1387,681,450,22,0,428,231,105,24,16,65,126,0,27,99,706,593,0,0,593,113,91,16,16,59,22,0,0,22,00617
8,,,,,,,469,235,179,0,0,179,56,40,0,0,40,16,0,0,16,234,186,0,12,174,48,20,20,0,0,28,0,0,28,00622
9,,,,,,,2402,1229,1018,11,80,927,211,120,63,0,57,91,16,13,62,1173,923,0,63,860,250,112,0,22,90,138,0,14,124,00623
10,,,,,,,1581,792,587,9,13,565,205,144,12,39,93,61,28,0,33,789,639,49,5,585,150,105,0,32,73,45,0,17,28,00624
11,,,,,,,2206,1141,907,36,71,800,234,226,71,59,96,8,8,0,0,1065,987,39,75,873,78,68,0,0,68,10,0,0,10,00627
12,,,,,,,87,55,40,0,0,40,15,0,0,0,0,15,0,15,0,32,23,0,0,23,9,9,0,0,9,0,0,0,0,00631
13,,,,,,,1636,838,690,6,26,658,148,61,0,0,61,87,0,16,71,798,682,0,17,665,116,58,35,17,6,58,0,0,58,00637
14,,,,,,,1247,615,438,0,0,438,177,57,7,0,50,120,11,0,109,632,530,21,11,498,102,58,0,0,58,44,0,0,44,00638
15,,,,,,,2008,1097,887,17,89,781,210,138,20,46,72,72,0,49,23,911,762,14,73,675,149,93,16,32,45,56,0,0,56,00641
16,,,,,,,2287,1094,950,30,14,906,144,144,29,35,80,0,0,0,0,1193,1067,24,35,1008,126,98,13,36,49,28,0,0,28,00646
17,,,,,,,366,220,179,22,0,157,41,8,8,0,0,33,0,0,33,146,115,0,0,115,31,23,0,0,23,8,0,0,8,00647
18,,,,,,,974,458,366,0,24,342,92,26,13,0,13,66,0,16,50,516,424,0,39,385,92,33,0,20,13,59,0,0,59,00650
19,,,,,,,215,101,44,0,6,38,57,39,0,0,39,18,0,0,18,114,99,0,0,99,15,15,0,0,15,0,0,0,0,00652
20,,,,,,,718,327,243,0,9,234,84,46,0,0,46,38,0,10,28,391,341,10,17,314,50,24,0,0,24,26,0,0,26,00653
21,,,,,,,1235,609,495,15,0,480,114,50,0,8,42,64,0,7,57,626,440,35,21,384,186,169,22,0,147,17,0,0,17,00656
22,,,,,,,2423,1310,1015,12,29,974,295,182,36,109,37,113,27,0,86,1113,917,85,0,832,196,135,0,18,117,61,0,13,48,00659
23,,,,,,,882,434,360,0,94,266,74,42,34,0,8,32,0,0,32,448,364,42,43,279,84,72,0,27,45,12,0,7,5,00660
24,,,,,,,2480,1266,1035,14,47,974,231,128,0,16,112,103,0,0,103,1214,1117,28,0,1089,97,67,8,0,59,30,0,10,20,00662
25,,,,,,,1108,645,375,0,36,339,270,77,0,75,2,193,0,28,165,463,351,0,49,302,112,93,28,20,45,19,0,0,19,00664
26,,,,,,,1480,914,813,0,0,813,101,48,0,0,48,53,0,10,43,566,433,18,0,415,133,83,0,7,76,50,0,13,37,00667
27,,,,,,,1806,963,737,31,75,631,226,121,0,35,86,105,13,22,70,843,674,15,58,601,169,109,0,21,88,60,0,11,49,00669
28,,,,,,,602,319,239,6,0,233,80,50,21,0,29,30,0,0,30,283,235,0,0,235,48,48,0,0,48,0,0,0,0,00670
29,,,,,,,2612,1333,1104,36,0,1068,229,172,0,76,96,57,0,0,57,1279,1083,0,21,1062,196,106,0,61,45,90,0,0,90,00674
30,,,,,,,2366,1152,988,45,82,861,164,52,0,52,0,112,0,23,89,1214,1083,30,27,1026,131,59,0,0,59,72,0,0,72,00676
31,,,,,,,824,425,305,10,55,240,120,45,15,30,0,75,0,14,61,399,371,0,83,288,28,12,0,0,12,16,0,0,16,00677
32,,,,,,,1530,824,755,0,0,755,69,31,17,14,0,38,0,0,38,706,664,28,37,599,42,32,9,0,23,10,0,0,10,00678
33,,,,,,,3610,1939,1409,93,66,1250,530,253,58,57,138,277,41,20,216,1671,1447,117,118,1212,224,129,0,13,116,95,0,34,61,00680
34,,,,,,,2741,1404,1251,58,64,1129,153,53,0,13,40,100,0,10,90,1337,1191,0,52,1139,146,29,0,0,29,117,0,0,117,00682
35,,,,,,,2045,1028,869,38,9,822,159,110,10,0,100,49,13,0,36,1017,874,69,14,791,143,116,0,9,107,27,0,0,27,00683
36,,,,,,,2298,1217,912,69,61,782,305,157,21,0,136,148,65,0,83,1081,899,14,100,785,182,104,0,0,104,78,0,0,78,00685
37,,,,,,,2173,1061,896,12,63,821,165,57,24,0,33,108,0,24,84,1112,970,0,35,935,142,51,0,0,51,91,0,0,91,00687
38,,,,,,,752,419,329,0,0,329,90,90,8,35,47,0,0,0,0,333,297,0,0,297,36,36,14,0,22,0,0,0,0,00688
39,,,,,,,356,192,115,0,0,115,77,0,0,0,0,77,0,0,77,164,141,0,0,141,23,7,0,7,0,16,0,0,16,00690
40,,,,,,,2373,1256,898,13,31,854,358,218,0,101,117,140,0,29,111,1117,798,0,49,749,319,224,13,65,146,95,0,28,67,00692
41,,,,,,,3549,1798,1463,50,61,1352,335,142,25,17,100,193,29,0,164,1751,1488,23,31,1434,263,108,0,43,65,155,0,0,155,00693
42,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00694
43,,,,,,,2469,1376,1165,62,50,1053,211,111,15,38,58,100,0,42,58,1093,886,0,29,857,207,176,48,0,128,31,0,0,31,00698
44,,,,,,,1713,864,715,7,32,676,149,113,25,15,73,36,0,13,23,849,737,0,23,714,112,82,0,0,82,30,7,0,23,00703
45,,,,,,,464,301,178,0,0,178,123,58,0,0,58,65,0,0,65,163,163,7,14,142,0,0,0,0,0,0,0,0,0,00704
46,,,,,,,1555,794,615,20,28,567,179,97,19,0,78,82,0,0,82,761,660,0,42,618,101,76,0,27,49,25,0,0,25,00705
47,,,,,,,775,412,348,16,23,309,64,40,0,15,25,24,0,0,24,363,303,32,38,233,60,60,0,0,60,0,0,0,0,00707
48,,,,,,,1286,678,491,52,54,385,187,125,0,38,87,62,0,40,22,608,554,0,51,503,54,40,0,32,8,14,0,0,14,00714
49,,,,,,,267,130,77,10,26,41,53,53,0,34,19,0,0,0,0,137,71,0,17,54,66,54,0,0,54,12,0,0,12,00715
50,,,,,,,1690,834,649,25,48,576,185,91,24,38,29,94,0,30,64,856,676,60,45,571,180,101,0,0,101,79,0,35,44,00716
51,,,,,,,1143,509,429,53,11,365,80,39,0,0,39,41,0,0,41,634,544,60,23,461,90,57,30,0,27,33,18,0,15,00717
52,,,,,,,1520,698,645,0,0,645,53,0,0,0,0,53,0,17,36,822,756,0,0,756,66,58,0,0,58,8,0,0,8,00718
53,,,,,,,2065,1054,900,0,42,858,154,88,17,19,52,66,15,0,51,1011,893,23,32,838,118,57,12,0,45,61,0,0,61,00719
54,,,,,,,1688,923,591,0,58,533,332,229,34,25,170,103,0,0,103,765,596,0,0,596,169,82,0,0,82,87,0,16,71,00720
55,,,,,,,1153,651,561,38,41,482,90,64,0,24,40,26,0,0,26,502,502,35,24,443,0,0,0,0,0,0,0,0,0,00723
56,,,,,,,5057,2480,1921,142,69,1710,559,371,41,144,186,188,15,50,123,2577,2066,181,139,1746,511,335,85,80,170,176,0,37,139,00725
57,,,,,,,3551,1872,1623,124,105,1394,249,147,42,36,69,102,25,26,51,1679,1553,153,89,1311,126,115,0,24,91,11,0,0,11,00727
58,,,,,,,2969,1487,1193,29,72,1092,294,178,28,62,88,116,0,0,116,1482,1235,23,135,1077,247,221,17,60,144,26,0,18,8,00728
59,,,,,,,3685,1974,1573,21,95,1457,401,266,85,100,81,135,8,0,127,1711,1368,124,133,1111,343,198,42,41,115,145,0,0,145,00729
60,,,,,,,2469,1216,937,67,89,781,279,142,51,46,45,137,11,7,119,1253,1066,103,92,871,187,118,8,74,36,69,0,0,69,00730
61,,,,,,,853,415,386,20,38,328,29,17,0,5,12,12,0,12,0,438,363,29,71,263,75,66,0,30,36,9,0,0,9,00731
62,,,,,,,844,444,432,27,0,405,12,12,0,0,12,0,0,0,0,400,257,0,26,231,143,89,0,0,89,54,0,0,54,00735
63,,,,,,,2935,1417,997,27,52,918,420,325,35,94,196,95,8,18,69,1518,1297,62,49,1186,221,149,0,69,80,72,0,0,72,00736
64,,,,,,,2079,1006,665,6,190,469,341,326,85,99,142,15,15,0,0,1073,852,37,156,659,221,127,37,28,62,94,0,54,40,00738
65,,,,,,,2264,1247,941,114,37,790,306,273,82,0,191,33,0,9,24,1017,853,55,21,777,164,145,38,21,86,19,0,0,19,00739
66,,,,,,,130,25,25,0,0,25,0,0,0,0,0,0,0,0,0,105,76,0,0,76,29,17,0,17,0,12,0,0,12,00740
67,,,,,,,311,154,154,17,0,137,0,0,0,0,0,0,0,0,0,157,125,0,0,125,32,19,0,0,19,13,0,0,13,00741
68,,,,,,,3459,1895,1230,90,187,953,665,436,77,185,174,229,20,37,172,1564,1091,105,138,848,473,268,53,93,122,205,32,21,152,00745
69,,,,,,,1740,888,720,0,8,712,168,119,12,22,85,49,0,8,41,852,752,14,7,731,100,59,0,29,30,41,0,7,34,00751
70,,,,,,,2448,1198,1029,12,32,985,169,135,0,28,107,34,7,0,27,1250,981,36,102,843,269,202,33,5,164,67,0,10,57,00754
71,,,,,,,1593,794,627,20,8,599,167,115,17,9,89,52,0,0,52,799,676,38,0,638,123,72,35,0,37,51,9,0,42,00757
72,,,,,,,515,347,176,14,14,148,171,122,109,0,13,49,26,0,23,168,121,0,0,121,47,47,38,0,9,0,0,0,0,00765
73,,,,,,,1801,1044,791,29,120,642,253,100,0,64,36,153,14,0,139,757,556,18,70,468,201,187,0,47,140,14,0,0,14,00766
74,,,,,,,2271,1076,795,48,39,708,281,134,26,27,81,147,49,17,81,1195,955,0,6,949,240,209,0,35,174,31,0,0,31,00767
75,,,,,,,2598,1337,1065,0,0,1065,272,116,0,51,65,156,35,25,96,1261,1085,22,11,1052,176,117,25,0,92,59,0,0,59,00769
76,,,,,,,2393,1277,1069,16,0,1053,208,173,30,38,105,35,2,22,11,1116,825,107,38,680,291,141,26,22,93,150,0,0,150,00771
77,,,,,,,1466,667,421,8,23,390,246,198,35,41,122,48,0,0,48,799,459,0,23,436,340,267,46,102,119,73,0,0,73,00772
78,,,,,,,1288,703,552,51,63,438,151,123,39,66,18,28,0,0,28,585,459,29,101,329,126,117,0,69,48,9,0,9,0,00773
79,,,,,,,104,41,25,7,0,18,16,0,0,0,0,16,0,0,16,63,33,0,0,33,30,27,0,0,27,3,0,0,3,00775
80,,,,,,,2370,1174,1018,19,81,918,156,23,0,0,23,133,0,29,104,1196,1095,29,43,1023,101,49,0,15,34,52,20,0,32,00777
81,,,,,,,2700,1360,1135,101,48,986,225,136,40,0,96,89,23,0,66,1340,1168,99,33,1036,172,154,76,39,39,18,0,0,18,00778
82,,,,,,,724,497,442,0,42,400,55,37,37,0,0,18,0,18,0,227,185,0,19,166,42,20,0,0,20,22,0,22,0,00780
83,,,,,,,1144,588,482,0,11,471,106,85,23,0,62,21,0,0,21,556,448,0,12,436,108,74,0,11,63,34,0,0,34,00782
84,,,,,,,2281,1104,908,33,86,789,196,88,0,0,88,108,0,17,91,1177,928,23,0,905,249,80,0,24,56,169,0,9,160,00783
85,,,,,,,2858,1521,1242,78,66,1098,279,94,38,30,26,185,16,20,149,1337,1157,7,72,1078,180,54,16,9,29,126,0,0,126,00784
86,,,,,,,27,27,27,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00786
87,,,,,,,3092,1475,1139,41,15,1083,336,222,40,25,157,114,0,18,96,1617,1549,85,15,1449,68,22,0,0,22,46,0,0,46,00791
88,,,,,,,2098,1123,914,21,68,825,209,126,0,0,126,83,11,0,72,975,872,22,4,846,103,77,13,0,64,26,0,0,26,00794
89,,,,,,,3416,1620,1279,54,84,1141,341,228,31,58,139,113,0,15,98,1796,1504,0,209,1295,292,154,0,52,102,138,0,12,126,00795
90,,,,,,,229,104,57,13,0,44,47,24,3,20,1,23,0,0,23,125,108,10,28,70,17,17,0,0,17,0,0,0,0,00901
91,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00906
92,,,,,,,602,352,343,19,33,291,9,9,0,0,9,0,0,0,0,250,219,19,10,190,31,25,0,25,0,6,6,0,0,00907
93,,,,,,,449,269,249,0,24,225,20,20,0,0,20,0,0,0,0,180,160,23,17,120,20,1,0,0,1,19,0,0,19,00909
94,,,,,,,280,203,203,25,38,140,0,0,0,0,0,0,0,0,0,77,65,12,0,53,12,12,0,12,0,0,0,0,0,00911
95,,,,,,,487,175,151,0,9,142,24,24,13,0,11,0,0,0,0,312,268,55,37,176,44,21,12,0,9,23,0,0,23,00912
96,,,,,,,441,298,150,0,0,150,148,27,0,27,0,121,16,39,66,143,102,0,0,102,41,26,9,10,7,15,0,0,15,00913
97,,,,,,,2283,1151,857,65,117,675,294,138,72,30,36,156,40,45,71,1132,902,41,153,708,230,176,48,68,60,54,0,37,17,00915
98,,,,,,,913,540,387,36,16,335,153,129,9,81,39,24,0,0,24,373,281,15,0,266,92,70,11,47,12,22,0,14,8,00917
99,,,,,,,628,274,262,11,0,251,12,12,0,12,0,0,0,0,0,354,217,10,0,207,137,54,0,29,25,83,0,0,83,00918
100,,,,,,,786,451,332,29,52,251,119,38,20,0,18,81,10,31,40,335,278,18,18,242,57,48,17,9,22,9,0,0,9,00920
101,,,,,,,2251,1010,814,71,45,698,196,123,11,24,88,73,14,0,59,1241,1121,114,58,949,120,79,22,43,14,41,9,0,32,00921
102,,,,,,,1913,999,679,45,65,569,320,215,59,99,57,105,0,49,56,914,698,89,33,576,216,55,38,0,17,161,19,20,122,00923
103,,,,,,,3354,1718,1432,101,279,1052,286,199,45,57,97,87,0,59,28,1636,1161,84,177,900,475,246,91,41,114,229,0,71,158,00924
104,,,,,,,656,351,283,26,31,226,68,20,0,0,20,48,32,0,16,305,286,60,31,195,19,0,0,0,0,19,0,0,19,00925
105,,,,,,,5937,2858,2325,171,83,2071,533,467,64,43,360,66,3,25,38,3079,2676,151,130,2395,403,239,82,16,141,164,17,0,147,00926
106,,,,,,,662,270,256,10,9,237,14,14,14,0,0,0,0,0,0,392,360,0,8,352,32,20,9,0,11,12,0,0,12,00927
107,,,,,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,00934
108,,,,,,,29,1,0,0,0,0,1,0,0,0,0,1,0,0,1,28,0,0,0,0,28,28,0,0,28,0,0,0,0,00936
109,,,,,,,4500,2315,1758,128,124,1506,557,452,139,149,164,105,23,14,68,2185,1803,141,76,1586,382,273,37,75,161,109,0,0,109,00949
110,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00950
111,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00951
112,,,,,,,677,302,243,37,25,181,59,44,12,0,32,15,0,0,15,375,309,34,21,254,66,51,0,19,32,15,0,15,0,00952
113,,,,,,,4983,2530,2065,162,372,1531,465,346,111,66,169,119,8,20,91,2453,2076,118,320,1638,377,197,87,0,110,180,0,13,167,00953
114,,,,,,,4207,2310,1868,87,523,1258,442,297,84,90,123,145,0,77,68,1897,1745,245,412,1088,152,94,0,36,58,58,0,12,46,00956
115,,,,,,,2747,1486,1175,67,306,802,311,136,9,22,105,175,21,22,132,1261,1067,58,117,892,194,85,26,8,51,109,12,0,97,00957
116,,,,,,,2815,1371,1186,46,68,1072,185,146,78,18,50,39,14,0,25,1444,1293,139,173,981,151,136,36,20,80,15,0,0,15,00959
117,,,,,,,149,149,89,0,0,89,60,22,0,0,22,38,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00960
118,,,,,,,1773,806,633,79,62,492,173,110,70,21,19,63,31,10,22,967,882,30,47,805,85,64,0,64,0,21,12,0,9,00961
119,,,,,,,1328,710,545,14,59,472,165,121,13,49,59,44,7,37,0,618,412,13,7,392,206,107,0,47,60,99,0,31,68,00962
120,,,,,,,611,267,229,28,20,181,38,28,0,21,7,10,1,0,9,344,251,20,18,213,93,81,13,15,53,12,0,12,0,00965
121,,,,,,,803,452,377,28,34,315,75,48,12,21,15,27,0,0,27,351,308,15,0,293,43,11,0,0,11,32,0,0,32,00966
122,,,,,,,100,17,17,0,0,17,0,0,0,0,0,0,0,0,0,83,72,0,13,59,11,11,0,0,11,0,0,0,0,00968
123,,,,,,,2141,1095,965,47,21,897,130,124,0,53,71,6,0,0,6,1046,981,16,9,956,65,65,0,22,43,0,0,0,0,00969
124,,,,,,,1890,998,663,12,77,574,335,217,67,132,18,118,31,0,87,892,714,79,32,603,178,107,25,28,54,71,0,55,16,00971
125,,,,,,,3684,1821,1417,112,82,1223,404,298,11,72,215,106,0,29,77,1863,1497,154,9,1334,366,242,83,14,145,124,0,0,124,00976
126,,,,,,,510,259,227,11,0,216,32,32,32,0,0,0,0,0,0,251,235,11,7,217,16,16,0,0,16,0,0,0,0,00979
127,,,,,,,716,329,295,108,13,174,34,34,0,0,34,0,0,0,0,387,314,31,20,263,73,54,16,0,38,19,19,0,0,00982
128,,,,,,,2409,1238,983,70,148,765,255,178,44,45,89,77,39,13,25,1171,1024,94,42,888,147,60,0,17,43,87,0,25,62,00983
129,,,,,,,2377,1175,854,63,114,677,321,210,69,41,100,111,16,21,74,1202,1037,135,121,781,165,95,0,35,60,70,0,12,58,00985
130,,,,,,,4008,2040,1617,151,133,1333,423,237,69,70,98,186,0,45,141,1968,1678,214,158,1306,290,269,64,9,196,21,21,0,0,00987
131,12417,1059,4316,3895,1953,1194,803,374,374,202,1,171,0,0,0,0,0,0,0,0,0,429,409,208,12,189,20,20,20,0,0,0,0,0,0,01001
132,12846,560,1576,2083,3098,5529,4013,1798,1774,517,104,1153,24,24,0,24,0,0,0,0,0,2215,2191,690,178,1323,24,23,0,21,2,1,0,0,1,01002
133,233,0,0,153,49,31,5739,2604,2604,383,247,1974,0,0,0,0,0,0,0,0,0,3135,3135,1114,283,1738,0,0,0,0,0,0,0,0,0,01003
134,3527,296,1257,1145,544,285,425,330,271,18,35,218,59,59,31,0,28,0,0,0,0,95,89,0,0,89,6,0,0,0,0,6,0,0,6,01005
135,10126,665,2569,2978,2372,1542,759,486,479,219,31,229,7,7,0,7,0,0,0,0,0,273,268,72,51,145,5,0,0,0,0,5,0,0,5,01007
136,836,41,287,271,151,86,57,25,25,13,0,12,0,0,0,0,0,0,0,0,0,32,32,5,9,18,0,0,0,0,0,0,0,0,0,01008
137,553,128,165,183,30,47,53,19,19,10,0,9,0,0,0,0,0,0,0,0,0,34,34,9,25,0,0,0,0,0,0,0,0,0,0,01009
138,2697,225,645,680,870,277,103,55,55,21,15,19,0,0,0,0,0,0,0,0,0,48,48,48,0,0,0,0,0,0,0,0,0,0,0,01010
139,1020,95,436,344,94,51,60,45,34,15,2,17,11,11,9,0,2,0,0,0,0,15,15,9,0,6,0,0,0,0,0,0,0,0,0,01011
140,417,8,161,93,87,68,21,15,11,3,0,8,4,3,3,0,0,1,0,1,0,6,6,1,1,4,0,0,0,0,0,0,0,0,0,01012
141,14367,3044,5782,3441,1436,664,1444,684,607,176,46,385,77,69,8,23,38,8,0,4,4,760,588,191,60,337,172,68,36,24,8,104,10,24,70,01013
142,22539,3364,8213,6787,2888,1287,1566,921,802,199,237,366,119,59,0,51,8,60,0,20,40,645,618,256,150,212,27,27,16,11,0,0,0,0,0,01020
143,1887,178,635,526,275,273,428,213,182,0,94,88,31,24,0,0,24,7,0,7,0,215,147,12,7,128,68,55,55,0,0,13,0,0,13,01022
144,796,30,240,219,166,141,77,50,50,9,2,39,0,0,0,0,0,0,0,0,0,27,25,10,0,15,2,2,0,0,2,0,0,0,0,01026
145,13407,1039,4352,4069,2372,1575,491,325,288,92,26,170,37,34,27,0,7,3,3,0,0,166,162,23,13,126,4,3,3,0,0,1,1,0,0,01027
146,11208,598,3161,3186,2404,1859,697,357,323,116,56,151,34,34,23,11,0,0,0,0,0,340,321,153,24,144,19,8,0,8,0,11,0,0,11,01028
147,495,33,213,134,64,51,31,10,10,0,0,10,0,0,0,0,0,0,0,0,0,21,21,0,0,21,0,0,0,0,0,0,0,0,0,01029
148,8024,584,2361,2779,1343,957,481,233,222,49,14,159,11,11,0,11,0,0,0,0,0,248,234,89,34,111,14,14,0,14,0,0,0,0,0,01030
149,1049,141,436,225,110,137,124,73,73,8,0,65,0,0,0,0,0,0,0,0,0,51,51,0,0,51,0,0,0,0,0,0,0,0,0,01031
150,470,18,129,157,82,84,28,6,4,0,0,4,2,2,2,0,0,0,0,0,0,22,22,3,11,8,0,0,0,0,0,0,0,0,0,01032
151,4565,362,1731,1188,694,590,229,114,114,14,0,100,0,0,0,0,0,0,0,0,0,115,101,27,0,74,14,14,14,0,0,0,0,0,0,01033
152,1525,86,492,427,352,168,149,67,63,32,10,21,4,4,0,0,4,0,0,0,0,82,74,24,0,50,8,8,4,4,0,0,0,0,0,01034
153,3911,208,899,947,1048,809,183,127,107,38,0,69,20,20,0,20,0,0,0,0,0,56,56,15,0,41,0,0,0,0,0,0,0,0,0,01035
154,3707,224,1071,1131,672,609,316,161,161,105,0,56,0,0,0,0,0,0,0,0,0,155,135,55,7,73,20,20,20,0,0,0,0,0,0,01036
155,460,21,127,98,75,139,55,35,35,0,0,35,0,0,0,0,0,0,0,0,0,20,8,0,0,8,12,0,0,0,0,12,0,0,12,01037
156,2122,75,656,533,481,377,64,32,22,0,6,16,10,10,9,1,0,0,0,0,0,32,32,10,0,22,0,0,0,0,0,0,0,0,0,01038
157,1246,78,249,345,330,244,42,33,15,8,0,7,18,11,0,0,11,7,7,0,0,9,6,5,0,1,3,3,0,0,3,0,0,0,0,01039
158,26030,6719,7359,6697,3438,1817,2412,1216,900,136,206,558,316,86,68,9,9,230,8,102,120,1196,976,235,135,606,220,64,52,0,12,156,31,0,125,01040
159,1715,98,656,584,203,174,92,49,36,26,0,10,13,1,1,0,0,12,10,2,0,43,41,9,0,32,2,2,2,0,0,0,0,0,0,01050
160,1510,232,408,325,236,309,65,37,37,0,0,37,0,0,0,0,0,0,0,0,0,28,5,5,0,0,23,23,23,0,0,0,0,0,0,01053
161,1333,80,136,258,313,546,70,34,34,3,0,31,0,0,0,0,0,0,0,0,0,36,34,4,3,27,2,2,2,0,0,0,0,0,0,01054
162,15815,2570,5528,4426,2008,1283,736,432,358,89,13,256,74,30,10,0,20,44,0,9,35,304,299,63,26,210,5,0,0,0,0,5,5,0,0,01056
163,6200,531,2121,1735,1125,688,328,129,106,18,13,75,23,16,0,16,0,7,0,0,7,199,196,151,12,33,3,3,3,0,0,0,0,0,0,01057
164,9887,550,1557,1874,2338,3568,1338,238,238,105,12,121,0,0,0,0,0,0,0,0,0,1100,1091,461,90,540,9,0,0,0,0,9,0,0,9,01060
165,7809,649,1561,1339,1713,2547,534,236,164,65,0,99,72,33,0,33,0,39,31,0,8,298,281,144,11,126,17,5,5,0,0,12,0,0,12,01062
166,9,0,0,9,0,0,287,5,5,0,5,0,0,0,0,0,0,0,0,0,0,282,282,112,5,165,0,0,0,0,0,0,0,0,0,01063
167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01066
168,1278,80,320,409,269,200,71,33,26,3,8,15,7,3,3,0,0,4,0,4,0,38,38,7,3,28,0,0,0,0,0,0,0,0,0,01068
169,6337,707,2532,1872,781,445,454,292,270,41,66,163,22,22,8,14,0,0,0,0,0,162,149,73,0,76,13,0,0,0,0,13,13,0,0,01069
170,462,36,110,131,86,99,37,26,21,4,1,16,5,4,3,1,0,1,0,1,0,11,11,0,3,8,0,0,0,0,0,0,0,0,0,01070
171,1039,51,429,301,179,79,51,32,32,13,0,19,0,0,0,0,0,0,0,0,0,19,17,4,7,6,2,2,2,0,0,0,0,0,0,01071
172,1078,39,155,217,315,352,60,36,32,6,0,26,4,4,4,0,0,0,0,0,0,24,24,10,0,14,0,0,0,0,0,0,0,0,0,01072
173,4181,222,1265,1339,686,669,255,171,171,97,0,74,0,0,0,0,0,0,0,0,0,84,84,37,7,40,0,0,0,0,0,0,0,0,0,01073
174,56,0,0,22,26,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01074
175,11795,886,2890,3529,2418,2072,1638,373,321,43,77,201,52,30,25,0,5,22,0,22,0,1265,1257,439,64,754,8,6,6,0,0,2,2,0,0,01075
176,6632,580,2232,1723,1155,942,429,253,185,83,26,76,68,46,46,0,0,22,9,0,13,176,176,27,39,110,0,0,0,0,0,0,0,0,0,01077
177,412,30,148,150,43,41,37,22,22,0,6,16,0,0,0,0,0,0,0,0,0,15,15,6,9,0,0,0,0,0,0,0,0,0,0,01079
178,1452,247,616,317,213,59,123,55,47,7,0,40,8,0,0,0,0,8,0,0,8,68,50,23,0,27,18,18,11,0,7,0,0,0,0,01080
179,1259,85,552,341,197,84,72,54,35,6,14,15,19,5,0,5,0,14,0,3,11,18,13,6,0,7,5,5,0,5,0,0,0,0,0,01081
180,7413,644,3031,2179,1013,546,337,209,164,26,28,110,45,41,9,22,10,4,0,4,0,128,103,53,11,39,25,20,0,20,0,5,0,0,5,01082
181,2145,377,611,857,279,21,101,74,34,0,0,34,40,40,10,0,30,0,0,0,0,27,27,17,0,10,0,0,0,0,0,0,0,0,0,01083
182,180,7,42,30,46,55,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,6,2,0,0,0,0,0,0,0,0,0,01084
183,26610,2655,8089,7932,5306,2628,2619,1212,1023,320,99,604,189,148,12,66,70,41,0,0,41,1407,1285,319,83,883,122,51,51,0,0,71,44,27,0,01085
184,9,0,0,5,4,0,754,406,406,0,0,406,0,0,0,0,0,0,0,0,0,348,348,0,0,348,0,0,0,0,0,0,0,0,0,01086
185,451,79,233,41,39,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01088
186,19625,2449,6275,5659,3504,1738,1429,731,619,130,60,429,112,72,69,3,0,40,15,0,25,698,552,159,136,257,146,55,42,13,0,91,18,26,47,01089
