,B06009_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B14005_001E,B14005_002E,B14005_003E,B14005_004E,B14005_005E,B14005_006E,B14005_007E,B14005_008E,B14005_009E,B14005_010E,B14005_011E,B14005_012E,B14005_013E,B14005_014E,B14005_015E,B14005_016E,B14005_017E,B14005_018E,B14005_019E,B14005_020E,B14005_021E,B14005_022E,B14005_023E,B14005_024E,B14005_025E,B14005_026E,B14005_027E,B14005_028E,B14005_029E,zip code tabulation area
26457,1441,391,434,395,127,94,130,101,97,0,3,94,4,4,4,0,0,0,0,0,0,29,25,0,0,25,4,0,0,0,0,4,0,0,4,76471
26458,857,100,305,256,112,84,164,42,42,0,0,42,0,0,0,0,0,0,0,0,0,122,89,37,0,52,33,33,33,0,0,0,0,0,0,76472
26459,211,14,37,82,65,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,76474
26460,671,79,284,189,79,40,25,19,9,0,0,9,10,0,0,0,0,10,0,0,10,6,0,0,0,0,6,6,6,0,0,0,0,0,0,76475
26461,1854,170,644,673,295,72,136,84,81,7,12,62,3,3,0,0,3,0,0,0,0,52,44,11,4,29,8,8,6,0,2,0,0,0,0,76476
26462,75,24,34,0,17,0,71,71,0,0,0,0,71,0,0,0,0,71,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76481
26463,663,128,205,183,111,36,33,5,5,0,0,5,0,0,0,0,0,0,0,0,0,28,16,0,0,16,12,9,9,0,0,3,3,0,0,76483
26464,796,185,255,239,42,75,62,62,40,0,12,28,22,11,0,0,11,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76484
26465,956,118,352,340,106,40,20,12,12,0,0,12,0,0,0,0,0,0,0,0,0,8,8,6,0,2,0,0,0,0,0,0,0,0,0,76486
26466,1490,225,492,515,211,47,53,26,26,7,6,13,0,0,0,0,0,0,0,0,0,27,27,10,0,17,0,0,0,0,0,0,0,0,0,76487
26467,81,14,50,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76490
26468,377,87,127,106,37,20,36,17,12,0,0,12,5,0,0,0,0,5,0,0,5,19,15,0,0,15,4,0,0,0,0,4,0,0,4,76491
26469,11018,1848,4155,3367,1142,506,935,480,413,112,65,236,67,26,26,0,0,41,18,0,23,455,406,156,27,223,49,29,4,20,5,20,0,3,17,76501
26470,22694,1549,6389,7333,4463,2960,1413,700,643,67,33,543,57,56,0,17,39,1,0,0,1,713,627,217,28,382,86,86,86,0,0,0,0,0,0,76502
26471,15658,2702,5568,4576,1768,1044,1096,348,267,103,9,155,81,51,40,0,11,30,16,0,14,748,572,120,54,398,176,176,114,0,62,0,0,0,0,76504
26472,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76508
26473,1724,489,614,377,167,77,112,56,36,0,8,28,20,16,0,0,16,4,0,4,0,56,53,13,0,40,3,3,3,0,0,0,0,0,0,76511
26474,21175,3129,6097,5957,3726,2266,2563,1156,977,342,151,484,179,112,89,23,0,67,12,28,27,1407,1242,434,39,769,165,122,63,40,19,43,0,0,43,76513
26475,959,153,411,237,99,59,63,36,36,0,0,36,0,0,0,0,0,0,0,0,0,27,17,0,4,13,10,0,0,0,0,10,0,0,10,76518
26476,552,125,197,175,55,0,61,30,30,0,0,30,0,0,0,0,0,0,0,0,0,31,22,0,0,22,9,0,0,0,0,9,9,0,0,76519
26477,5349,1217,1971,1394,579,188,466,312,295,2,0,293,17,10,10,0,0,7,0,0,7,154,154,32,24,98,0,0,0,0,0,0,0,0,0,76520
26478,22610,1630,6188,10311,2914,1567,1790,942,834,157,124,553,108,103,47,56,0,5,5,0,0,848,724,96,36,592,124,122,87,0,35,2,0,0,2,76522
26479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76523
