CustZip,visitorzip_lat,visitorzip_lon,per_family_annual_income,non_hs_educated,PopulationRaceWhite,Dist_to_park,util_days,disabled_percent,MedianAge
1092,42.202417,-72.221696,52851.41243,0.145584726,0.948350072,20.65476453,0.06384505,0.075925926,38.3
1093,42.4399,-72.6353,58890.34483,0.060747664,0.978461538,20.08317937,0.547692308,0.085106383,51.2
1094,42.3517,-72.1405,39217.3913,0.085409253,0.965811966,31.8011559,0.014245014,0.373529412,43.9
1095,42.134675,-72.432176,89821.39918,0.065468549,0.922201271,29.32698468,0.17710734,0.108171206,46
1096,42.436118,-72.770062,62457.17368,0.031971581,0.963464141,10.75549227,1.174109157,0.107603379,46.2
1097,42.1594,-72.8751,28213.15789,0,0.945945946,20.21743554,0.009009009,0.228915663,27.5
1098,42.390244,-72.947238,55312.52485,0.095402299,0.962761126,9.637654765,2.138056312,0.112873134,50.9
1103,42.103366,-72.590557,7422.363151,0.384070796,0.258168616,33.31644509,0.013715208,0.353221957,35.7
1104,42.12954,-72.569176,30812.71148,0.256488128,0.364968292,31.7691881,0.017800131,0.210835195,35.7
1105,42.100995,-72.581566,16912.32086,0.410062333,0.153603239,33.66470242,0.002105263,0.221269868,28.8
1106,42.05056,-72.565884,124186.9861,0.058801911,0.906934648,38.73714031,0.053055365,0.082384927,45.5
1107,42.121306,-72.60891,26697.13252,0.477626001,0.130135217,31.19850867,0.003272759,0.2247151,27.3
1108,42.08114,-72.557783,33224.21248,0.244839487,0.358175959,35.90629675,0.054743705,0.189124008,30.8
1109,42.118748,-72.549032,31372.22564,0.232161547,0.215338843,34.24813011,0.018380165,0.177215594,27.5
1118,42.095584,-72.524304,49737.43868,0.104522097,0.672020468,36.17453309,0.088693057,0.152739022,39.2
1119,42.122508,-72.511518,43488.35809,0.20022818,0.540771622,35.29109581,0.019643867,0.16019522,31.9
1128,42.095804,-72.485598,60912.60745,0.059485531,0.771569745,33.31456062,0.082858229,0.151134522,44.2
1129,42.120974,-72.487872,48495.71379,0.119179163,0.61903405,33.7149784,0.033053141,0.09341028,40.7
1151,42.151278,-72.510524,28589.31434,0.212003872,0.469188319,33.85015795,0.005633479,0.22421721,31.9
1201,42.466531,-73.289364,40807.69871,0.100123796,0.862785997,33.54962119,0.031223121,0.165097482,42.7
1220,42.627128,-73.11869,40498.48561,0.143752061,0.962571196,37.34883735,0.038358712,0.17866294,44.5
1222,42.065432,-73.316479,51297.32143,0.092503987,0.933655006,44.80020995,0.033775633,0.126708075,45.2
1223,42.324078,-73.130876,59698.68154,0.073196986,0.960674157,19.63321547,0.62662057,0.155916275,48.4
1225,42.558246,-73.147934,50075.4451,0.066727605,0.970163619,33.74210208,0.055502085,0.134357633,45.7
1226,42.47662,-73.146709,51826.54299,0.061691542,0.958387329,28.18139047,0.050107991,0.12381646,44.7
1229,42.2836,-73.3445,37993.87755,0,0.978947368,38.72707953,0.610526316,0.207207207,55.5
1230,42.171162,-73.330261,61012.27364,0.10998821,0.891933571,43.45704337,0.073784104,0.111111111,47.5
1235,42.3959,-73.076287,59418.01029,0.077558513,0.973608098,20.31811321,0.065075922,0.154023747,45.8
1236,42.263088,-73.383452,53633.38534,0.014744146,0.928429423,41.93922836,0.02584493,0.117245658,47.2
1237,42.560748,-73.244402,67182.60447,0.065509518,0.955128205,34.48640699,0.082932692,0.059081836,46.1
1238,42.287955,-73.206905,59572.29521,0.05978022,0.919629568,30.73407163,0.076401521,0.137071651,46
1240,42.366471,-73.271106,66335.75874,0.045001424,0.930304367,33.64494579,0.157256286,0.177324951,52.2
1242,42.339438,-73.246692,18803.57143,0.094890511,0.93697479,30.63251769,0.109243697,0.174193548,44
1243,42.348104,-73.002747,56818.05556,0.05033557,0.991017964,12.16758259,0.107784431,0.104347826,49.8
1244,42.137294,-73.195265,53876.78571,0.135338346,0.993377483,41.16682913,0.139072848,0.226950355,40.1
1245,42.179822,-73.196867,47355.27523,0.029360967,0.974619289,29.16880637,0.234517766,0.126721763,51
1247,42.695558,-73.087992,36571.22123,0.149460004,0.921178591,44.41126028,0.064648474,0.180749403,39.9
1253,42.195522,-73.094484,73349.07407,0.048042705,0.961696306,24.51988886,0.091655267,0.090296496,47.5
1254,42.379056,-73.365874,95394.50801,0.020698577,0.967078189,40.28095813,0.148148148,0.115694165,53.7
1255,42.113526,-73.119992,58306.36605,0.158730159,0.956284153,32.8891245,0.053551913,0.098751419,49.9
1256,42.589611,-73.022988,42517.11409,0.133462282,0.930635838,28.76936134,0.170520231,0.096296296,46
1257,42.10393,-73.367684,64565.41275,0.095209935,0.939651108,46.86988185,0.112682697,0.136967476,49.8
1258,42.102233,-73.46408,33992.61364,0.007407407,0.965240642,47.95135998,0.221925134,0.105263158,53.2
1259,42.079208,-73.238182,76976.15658,0.054393305,0.963779528,43.08982921,0.001574803,0.11908646,50.3
1262,42.296779,-73.32588,44217.01031,0.068965517,0.928917609,36.44440345,0.029886914,0.127868852,52.9
1264,42.22651,-73.197611,100760.6557,0.02,0.97080292,29.47556983,0.109489051,0.137724551,58.9
1266,42.288658,-73.377778,67970.51852,0.019283747,0.953520164,40.23158386,0.101845523,0.140963015,53.1
