,Annual Aggregate Family Income,zip code tabulation area
312,104106500,01535
313,200582400,01536
314,50623400,01537
315,276417400,01540
316,132584000,01541
317,40067800,01542
318,228096500,01543
319,1207448500,01545
320,244878200,01550
321,132609900,01560
322,,01561
323,244681800,01562
324,277748000,01564
325,198669000,01566
326,288658600,01568
327,374710800,01569
328,313473100,01570
329,248183600,01571
330,663232400,01581
331,179125000,01583
332,121910700,01585
333,222708600,01588
334,324010000,01590
335,518536500,01602
336,293325300,01603
337,594607400,01604
338,371717700,01605
339,438322600,01606
340,139847500,01607
341,20935700,01608
342,318230800,01609
343,200839800,01610
344,61177000,01611
345,152396300,01612
346,1004604100,01701
347,724387500,01702
348,16677200,01718
349,253905800,01719
350,996906900,01720
351,628731500,01721
352,545971100,01730
353,34233500,01731
354,244520700,01740
355,351288100,01741
356,1075160900,01742
357,11420400,01745
358,552804000,01746
359,185118000,01747
360,781628300,01748
361,531940100,01749
362,956014200,01752
363,271772700,01754
364,221979300,01756
365,710191400,01757
366,1329605400,01760
367,289599000,01770
368,551507800,01772
369,307387200,01773
370,273647200,01775
371,1244000700,01776
372,811143200,01778
373,983925400,01801
374,811293100,01803
375,1518818000,01810
376,875204500,01821
377,904791900,01824
378,796036200,01826
379,136284000,01827
380,543687700,01830
381,444573400,01832
382,307401600,01833
383,229195300,01834
384,303802200,01835
385,34383400,01840
386,505096600,01841
387,353695500,01843
388,1165554800,01844
389,1056652400,01845
390,247639800,01850
391,491497200,01851
392,586409700,01852
393,384043300,01854
394,192158200,01860
395,268910800,01862
396,281432400,01863
397,595814500,01864
398,979834000,01867
399,964130200,01876
400,413850900,01879
401,792577800,01880
402,990773100,01886
403,719206800,01887
404,1267662500,01890
405,18733800,01901
406,631387800,01902
407,506614300,01904
408,354142800,01905
409,743915800,01906
410,564295600,01907
411,110057500,01908
412,498630100,01913
413,1091097400,01915
414,424467500,01921
415,105612800,01922
416,811940000,01923
417,126355000,01929
418,797392700,01930
419,,01937
420,439335000,01938
421,497792200,01940
422,313608200,01944
423,928577300,01945
424,262425900,01949
425,612342700,01950
426,121449600,01951
427,223815200,01952
