,total,disabled,zipcode
321,4475,362,1560
322,174,25,1561
323,11722,1467,1562
324,7758,629,1564
325,6617,606,1566
326,7411,615,1568
327,13537,1050,1569
328,16496,2505,1570
329,11445,1225,1571
330,18000,1392,1581
331,5887,575,1583
332,4506,526,1585
333,10227,1126,1588
334,8943,796,1590
335,23584,2613,1602
336,19206,2818,1603
337,34410,4344,1604
338,26643,4524,1605
339,19130,2057,1606
340,8925,1295,1607
341,3558,625,1608
342,20779,2512,1609
343,23743,3435,1610
344,2481,362,1611
345,4856,284,1612
346,30854,2992,1701
347,37126,4203,1702
348,343,14,1718
349,5048,204,1719
350,21689,1670,1720
351,16751,1453,1721
352,13243,1109,1730
353,1322,24,1731
354,4967,226,1740
355,4918,348,1741
356,16753,1337,1742
357,305,28,1745
358,13786,849,1746
359,5867,594,1747
360,15178,818,1748
361,19263,2047,1749
362,38528,3431,1752
363,10211,1172,1754
364,5808,434,1756
365,28067,2689,1757
366,32953,2745,1760
367,4169,125,1770
368,9490,436,1772
369,4822,314,1773
370,6727,360,1775
371,17695,1052,1776
372,13225,967,1778
373,38815,4240,1801
374,24630,2360,1803
375,33540,2310,1810
376,30546,3006,1821
377,24559,2364,1824
378,29968,3434,1826
379,3255,169,1827
380,25141,4075,1830
381,21996,2815,1832
382,8295,545,1833
383,6675,596,1834
384,13513,1281,1835
385,4537,1213,1840
386,47060,7210,1841
387,24564,3710,1843
388,47382,5090,1844
389,28386,2225,1845
390,15349,2030,1850
391,29640,3418,1851
392,32991,4529,1852
393,28344,4007,1854
394,6417,669,1860
395,10147,849,1862
396,9481,676,1863
397,14977,1023,1864
398,24376,1776,1867
399,28380,2716,1876
400,11675,1195,1879
401,24873,2104,1880
402,22401,1268,1886
403,22406,1971,1887
404,21415,1194,1890
405,2023,528,1901
406,44540,6581,1902
407,18773,2269,1904
408,25042,2654,1905
409,26885,3493,1906
410,13812,1263,1907
411,3372,374,1908
412,16137,1549,1913
413,39504,4110,1915
414,8040,387,1921
415,3012,331,1922
416,26277,2378,1923
417,3546,280,1929
418,28786,3369,1930
419,89,89,1937
420,13288,1147,1938
421,12299,953,1940
422,5178,254,1944
423,19845,1557,1945
424,7420,764,1949
425,17301,1547,1950
426,3683,301,1951
427,8377,1064,1952
428,50802,7508,1960
429,6971,700,1966
430,5874,631,1969
431,41683,5700,1970
432,7989,541,1982
433,6099,590,1983
434,4964,455,1984
435,4305,391,1985
436,16433,1538,2019
437,21436,2189,2021
438,7875,417,2025
439,23909,2644,2026
440,5677,284,2030
441,3884,337,2032
442,16952,1637,2035
443,31971,2357,2038
444,22105,1940,2043
445,10301,1352,2045
446,111,97,2047
447,23280,1758,2048
448,25636,2257,2050
449,12073,693,2052
450,12755,961,2053
451,7916,756,2054
452,9183,460,2056
453,10369,798,2061
454,28293,3104,2062
455,17575,1222,2066
456,17532,1434,2067
457,1096,59,2071
458,27141,3249,2072
459,18757,1708,2081
460,14685,987,2090
461,10871,844,2093
462,4062,338,2108
463,4055,378,2109
464,1752,240,2110
465,7766,857,2111
466,6843,408,2113
467,11375,708,2114
468,28852,2724,2115
469,21736,1262,2116
470,26297,3358,2118
471,24636,4300,2119
472,14047,1581,2120
473,27053,5503,2121
474,24229,3945,2122
475,51271,7998,2124
476,34108,3999,2125
477,27780,4319,2126
478,33460,3172,2127
479,43483,5448,2128
480,17332,1643,2129
481,36628,3547,2130
482,30427,3859,2131
483,27074,2754,2132
484,18899,1805,2134
485,36667,3810,2135
486,29069,3041,2136
487,35297,1790,2138
488,35903,2868,2139
489,18050,1543,2140
490,12979,1475,2141
491,2733,49,2142
492,25959,1898,2143
493,23835,1790,2144
494,24588,2446,2145
495,59647,5963,2148
496,41893,5594,2149
497,35783,3994,2150
498,52269,7760,2151
499,17715,2058,2152
500,58385,5121,2155
501,2100,40,2163
502,54711,6313,2169
503,19765,1847,2170
504,17638,1781,2171
505,26980,2269,2176
506,21253,2190,2180
507,35519,3894,2184
508,26942,2391,2186
509,14392,1836,2188
510,14455,1794,2189
511,16691,1734,2190
512,8369,1100,2191
513,1273,99,2199
514,0,0,2203
515,1763,100,2210
516,24149,1130,2215
517,58103,8807,2301
518,34664,5711,2302
519,4400,544,2322
520,24183,1957,2324
521,11469,1307,2330
522,15015,979,2332
523,13745,1418,2333
524,7532,880,2338
525,13894,1357,2339
526,10248,780,2341
527,10641,1415,2343
528,22773,2261,2346
529,10711,1048,2347
530,15899,1720,2351
531,12464,798,2356
532,959,9,2357
533,17804,1582,2359
534,54932,5399,2360
535,12522,1450,2364
536,0,0,2366
537,2834,217,2367
538,32665,5064,2368
539,17370,2459,2370
540,9833,923,2375
541,6789,893,2379
542,14555,1622,2382
543,13784,886,2420
544,17697,1247,2421
545,20838,1352,2445
546,28613,2226,2446
547,17268,1939,2451
548,14849,1080,2452
549,28862,2381,2453
550,1343,110,2457
551,11556,1278,2458
552,18339,1300,2459
553,9025,604,2460
554,6808,574,2461
555,1328,202,2462
556,2862,103,2464
557,11560,766,2465
558,9048,720,2466
559,22883,1327,2467
560,5168,270,2468
561,32398,2531,2472
562,26605,2101,2474
563,16520,1267,2476
564,24632,1623,2478
565,16122,894,2481
566,10820,746,2482
567,19916,1299,2492
568,11414,633,2493
569,8875,789,2494
570,11310,1319,2532
571,1247,166,2534
572,1276,121,2535
573,19386,2243,2536
574,6146,387,2537
575,3239,394,2538
576,4102,468,2539
577,8209,1587,2540
578,735,35,2542
579,720,19,2543
580,210,0,2553
581,9803,843,2554
582,2770,462,2556
583,4507,385,2557
584,1489,212,2558
585,4046,529,2559
586,468,25,2561
587,3319,352,2562
588,9427,939,2563
589,381,0,2564
590,3980,282,2568
591,10262,1436,2571
592,2628,131,2575
593,4888,642,2576
594,0,0,2584
595,13415,2210,2601
596,2056,186,2630
597,9255,926,2631
598,11501,1269,2632
599,3834,563,2633
600,3355,338,2635
601,84,0,2637
602,3355,559,2638
603,3127,606,2639
604,355,13,2641
605,4882,694,2642
606,17,8,2643
607,4458,225,2644
608,9344,1208,2645
609,1946,331,2646
610,129,60,2647
611,6882,485,2648
612,13910,1634,2649
613,1104,97,2650
614,26,0,2651
615,1133,148,2652
616,5936,999,2653
617,3943,467,2655
618,2932,410,2657
619,837,55,2659
620,5950,883,2660
621,121,0,2663
622,9379,1684,2664
623,598,149,2666
624,2891,518,2667
625,2755,316,2668
626,211,43,2669
627,1302,213,2670
628,844,171,2671
629,150,10,2672
630,8343,869,2673
631,6233,908,2675
632,4535,289,2702
633,43271,5703,2703
634,114,12,2713
635,3195,284,2715
636,4332,413,2717
637,6750,1080,2718
638,15640,2015,2719
639,29866,5166,2720
640,26005,5575,2721
641,14184,2746,2723
642,16761,4018,2724
643,2546,467,2725
644,15398,1988,2726
645,4805,490,2738
646,6067,445,2739
647,42285,7664,2740
648,10321,1210,2743
649,11719,2323,2744
650,24420,3538,2745
651,14820,2988,2746
652,20486,2630,2747
653,12485,1766,2748
654,26958,2669,2760
655,8429,883,2762
656,1638,143,2763
657,3870,424,2764
658,19047,1984,2766
659,13290,1534,2767
660,11655,1107,2769
661,5265,490,2770
662,13909,1213,2771
663,15759,1671,2777
664,6445,640,2779
665,48581,7181,2780
666,16138,1736,2790
667,80,0,2791
668,919,105,2802
669,2573,392,2804
670,16293,1404,2806
671,836,58,2807
672,2202,149,2808
673,22034,2748,2809
674,1969,147,2812
675,7821,805,2813
676,7453,942,2814
677,200,0,2815
678,32348,3828,2816
679,6076,561,2817
680,18178,1749,2818
681,6376,877,2822
682,5286,612,2825
683,637,54,2826
684,2023,247,2827
685,7187,950,2828
686,6356,955,2830
687,3129,295,2831
688,5191,663,2832
689,513,88,2833
690,5423,476,2835
691,103,0,2836
692,3490,424,2837
693,3463,307,2838
694,1617,285,2839
695,22598,2498,2840
696,0,0,2841
697,15483,1515,2842
698,22323,2194,2852
699,8905,1076,2857
700,605,27,2858
701,6522,1027,2859
702,43602,6590,2860
703,27268,3982,2861
704,19121,2989,2863
705,33227,3541,2864
706,16854,1356,2865
707,16883,1935,2871
708,184,87,2872
709,181,18,2873
710,6077,250,2874
711,428,84,2875
712,237,11,2876
713,15739,1690,2878
714,20520,2142,2879
715,7681,431,2881
716,13891,967,2882
717,10387,1404,2885
718,28319,4035,2886
719,19389,2368,2888
720,28452,4008,2889
721,20855,2601,2891
722,4093,383,2892
723,29275,4334,2893
724,563,18,2894
725,40339,6811,2895
726,11459,1564,2896
727,1220,133,2898
728,10439,1530,2903
729,28317,3993,2904
730,25209,2823,2905
731,28703,2237,2906
732,27272,3741,2907
733,36530,4544,2908
734,43657,5145,2909
735,20102,2585,2910
736,15740,2156,2911
737,1850,56,2912
738,21566,3449,2914
739,16112,2687,2915
740,8700,1102,2916
741,13737,1395,2917
742,28500,4339,2919
743,34537,4960,2920
744,12169,879,2921
745,11283,851,3031
746,5027,417,3032
747,5023,290,3033
748,3961,308,3034
749,4789,416,3036
750,4248,439,3037
751,33273,3290,3038
752,6444,895,3042
753,1547,111,3043
754,4248,378,3044
755,13269,1419,3045
756,2774,184,3046
757,1437,180,3047
758,3513,375,3048
759,7700,554,3049
760,24425,2439,3051
761,8299,651,3052
762,24013,1834,3053
763,25503,2169,3054
764,14917,1660,3055
765,2531,136,3057
766,28762,4705,3060
767,26976,2964,3062
768,15925,1252,3063
769,14489,1779,3064
770,5278,358,3070
771,5082,452,3071
772,12960,1001,3076
773,10218,1258,3077
774,28720,2958,3079
775,1515,126,3082
776,1605,119,3084
777,3812,392,3086
778,13736,758,3087
779,2927,632,3101
780,31737,4757,3102
781,35857,4767,3103
782,32294,3652,3104
783,13470,1052,3106
784,9587,852,3109
785,20858,1131,3110
786,240,19,3215
787,2130,366,3216
788,1796,287,3217
789,893,70,3218
790,7333,969,3220
791,2014,202,3221
792,5684,900,3222
793,3384,434,3223
794,2290,181,3224
795,3700,497,3225
796,994,108,3226
797,1039,113,3227
798,5594,567,3229
799,1371,225,3230
800,313,92,3231
801,96,39,3233
802,4491,645,3234
803,8460,1458,3235
804,2155,205,3237
805,89,6,3238
806,1318,205,3240
807,838,118,3241
808,4813,448,3242
809,1200,158,3243
810,7923,997,3244
811,1674,163,3245
812,15546,2329,3246
813,7101,695,3249
814,1264,277,3251
815,6224,755,3253
816,4065,516,3254
817,1968,218,3255
818,2288,267,3256
819,4530,543,3257
820,2517,261,3258
821,303,38,3259
822,805,88,3260
823,4253,309,3261
824,1111,126,3262
825,4095,662,3263
826,7426,578,3264
827,2206,322,3266
828,1293,146,3268
829,2966,256,3269
830,279,39,3273
831,11422,1389,3275
832,8183,825,3276
833,2980,370,3278
834,644,136,3279
835,1074,213,3280
836,8828,695,3281
837,900,149,3282
838,1140,99,3284
839,2473,332,3285
840,1286,127,3287
841,4747,439,3290
842,34,0,3291
843,87,16,3293
844,30310,4249,3301
845,15160,1950,3303
846,7573,589,3304
847,5308,625,3307
848,25114,2835,3431
849,2628,384,3440
850,584,42,3441
851,1497,133,3442
852,918,73,3443
853,1674,196,3444
854,697,80,3445
855,6131,804,3446
856,2567,282,3447
857,662,82,3448
858,1791,160,3449
859,860,64,3450
860,4018,973,3451
861,5368,566,3452
862,1922,193,3455
863,782,122,3456
864,695,96,3457
865,6502,513,3458
866,5927,459,3461
867,1840,188,3462
868,1053,128,3464
869,2313,310,3465
870,888,152,3466
871,1784,139,3467
872,4598,689,3470
873,5932,750,3561
874,8951,1830,3570
875,2529,418,3574
876,106,39,3575
877,3247,659,3576
878,419,95,3579
879,1447,123,3580
880,3179,603,3581
881,2542,579,3582
882,864,102,3583
883,3566,601,3584
884,2593,338,3585
885,574,64,3586
886,1642,283,3588
887,972,261,3590
888,1300,270,3592
889,459,77,3593
890,838,129,3595
891,308,73,3597
892,3067,597,3598
893,553,86,3601
894,2759,321,3602
895,5317,921,3603
896,237,0,3604
897,1189,218,3605
898,293,27,3607
899,2304,336,3608
900,1179,127,3609
901,747,63,3740
902,4261,581,3741
903,13627,2595,3743
904,1462,157,3745
905,152,21,3746
906,4580,325,3748
907,1099,13,3750
908,408,35,3751
909,728,132,3752
910,2954,223,3753
911,0,0,3754
912,10163,643,3755
913,698,57,3765
914,9452,1314,3766
915,1937,144,3768
916,528,30,3770
917,1016,113,3771
918,7670,1149,3773
919,1565,206,3774
920,1454,145,3777
921,817,134,3779
922,336,48,3780
923,2002,189,3781
924,3071,357,3782
925,3724,488,3784
926,2494,463,3785
927,21397,2539,3801
928,3749,222,3809
929,1504,137,3810
930,6775,579,3811
931,616,197,3812
932,3692,379,3813
933,2451,570,3814
934,1420,172,3816
935,656,247,3817
936,3628,747,3818
937,4402,502,3819
938,29207,3453,3820
939,2026,133,3823
940,14949,968,3824
941,8552,927,3825
942,2670,63,3826
943,3221,261,3827
944,1708,531,3830
945,366,34,3832
946,20364,2250,3833
947,6781,1335,3835
948,1200,185,3836
949,1616,157,3837
950,981,138,3838
951,3762,594,3839
952,3815,364,3840
953,6066,487,3841
954,14488,1692,3842
955,2321,187,3844
956,1248,112,3845
957,1029,84,3846
958,272,38,3847
959,6057,491,3848
960,1306,150,3849
961,230,52,3850
962,3946,576,3851
963,639,112,3852
964,732,82,3853
965,909,112,3854
966,2644,375,3855
967,1629,97,3856
968,8908,855,3857
969,4644,321,3858
970,3854,461,3860
971,4346,277,3861
972,4328,509,3862
973,1349,155,3864
974,7614,724,3865
975,19680,3347,3867
976,6185,904,3868
977,2501,213,3869
978,5262,531,3870
979,17,0,3871
980,3545,703,3872
981,5829,505,3873
982,9037,1621,3874
983,1168,174,3875
984,11723,1519,3878
985,1377,197,3882
986,61,0,3883
987,3990,412,3884
988,7086,719,3885
989,2059,417,3886
990,1985,241,3887
991,350,112,3890
992,6143,727,3894
993,7315,945,3901
994,2049,283,3902
995,6234,639,3903
996,7942,1246,3904
997,1254,58,3905
998,4525,568,3906
999,1143,211,3907
1000,7224,828,3908
1001,10093,1210,3909
1002,357,12,3910
1003,117,0,3911
1004,2470,339,4001
1005,7149,1135,4002
1006,527,86,4003
1007,23117,3274,4005
1008,63,13,4006
1009,2759,328,4008
1010,5182,850,4009
1011,1336,234,4010
1012,20105,3208,4011
1013,3806,533,4015
1014,401,64,4017
1015,0,0,4019
1016,1488,258,4020
1017,5982,464,4021
1018,1042,154,4022
1019,594,73,4024
1020,6049,748,4027
1021,1559,274,4029
1022,2306,474,4030
1023,7840,898,4032
1024,3779,483,4037
1025,16415,1385,4038
1026,7324,793,4039
1027,3056,494,4040
1028,1694,261,4041
1029,4309,561,4042
1030,10786,1349,4043
1031,7554,795,4046
1032,1614,240,4047
1033,2959,250,4048
1034,3654,625,4049
1035,238,40,4050
1036,1088,133,4051
1037,3783,468,4055
1038,195,78,4056
1039,23,0,4057
1040,3462,305,4061
1041,16369,1978,4062
1042,340,85,4063
1043,8319,1428,4064
1044,377,95,4066
1045,1690,239,4068
1046,1471,158,4069
1047,4989,646,4071
1048,18462,2259,4072
1049,15825,2797,4073
1050,18677,1997,4074
1051,2676,441,4076
1052,3868,459,4079
1053,4688,690,4083
1054,7926,891,4084
1055,1948,213,4085
1056,8648,1146,4086
1057,1934,259,4087
1058,1705,275,4088
1059,9656,1150,4090
1060,996,136,4091
1061,17448,2486,4092
1062,8030,1063,4093
1063,1200,267,4095
1064,8250,625,4096
1065,3598,274,4097
1066,17115,2811,4101
1067,17132,1957,4102
1068,29925,3194,4103
1069,11095,934,4105
1070,25019,2928,4106
1071,8962,479,4107
1072,900,132,4108
1073,94,16,4109
1074,1297,105,4110
1075,22654,3639,4210
1076,439,95,4216
1077,2923,511,4217
1078,1509,250,4219
1079,3101,401,4220
1080,997,240,4221
1081,3867,372,4222
1082,3145,664,4224
1083,154,8,4226
1084,39,0,4227
1085,75,0,4228
1086,263,45,4231
1087,229,35,4234
1088,4337,589,4236
1089,141,23,4237
1090,1557,151,4238
1091,4840,789,4239
1092,35975,6874,4240
1093,4122,753,4250
1094,4769,543,4252
1095,2092,250,4253
1096,3079,612,4254
1097,877,109,4255
1098,2997,445,4256
1099,2667,714,4257
1100,2603,291,4258
1101,3122,461,4259
1102,5547,645,4260
1103,438,62,4261
1104,2085,332,4263
1105,996,84,4265
1106,61,25,4267
1107,4947,1015,4268
1108,6162,960,4270
1109,0,0,4271
1110,5390,556,4274
1111,465,93,4275
1112,5757,1386,4276
1113,6770,1029,4280
1114,4947,952,4281
1115,5725,570,4282
1116,1000,142,4284
1117,463,69,4285
1118,149,22,4286
1119,3176,371,4287
1120,1808,277,4289
1121,1405,225,4290
1122,1130,176,4292
1123,4075,621,4294
1124,25353,4925,4330
1125,1638,249,4342
1126,79,0,4343
1127,2816,544,4344
1128,11487,1879,4345
1129,1766,450,4346
1130,2280,344,4347
1131,3081,545,4348
1132,1125,172,4349
1133,3607,749,4350
1134,2571,288,4351
1135,1617,217,4352
1136,2331,322,4353
1137,1592,226,4354
1138,2578,289,4355
1139,3393,563,4357
1140,4236,607,4358
1141,455,62,4359
1142,621,119,4360
1143,2567,344,4363
1144,5932,862,4364
1145,44140,7566,4401
1146,641,152,4406
1147,175,22,4408
1148,1138,154,4410
1149,1460,274,4411
1150,9291,1574,4412
1151,168,35,4413
1152,1343,317,4414
1153,232,96,4415
1154,5494,951,4416
1155,297,113,4417
1156,1632,350,4418
1157,2787,358,4419
1158,1503,70,4421
1159,1176,170,4422
1160,791,253,4424
1161,4464,755,4426
1162,2799,476,4427
1163,3284,550,4428
1164,4833,694,4429
1165,1714,449,4430
1166,38,10,4431
1167,1264,224,4434
1168,990,196,4435
1169,1275,228,4438
1170,2084,405,4441
1171,64,9,4442
1172,2350,595,4443
1173,8744,865,4444
1174,1494,298,4448
1175,1427,224,4449
1176,1107,272,4450
1177,199,80,4451
1178,777,180,4453
1179,57,21,4454
1180,1256,223,4455
1181,2850,410,4456
1182,5718,1262,4457
1183,1008,209,4459
1184,1373,292,4460
1185,3054,805,4461
1186,4794,1026,4462
1187,2624,720,4463
1188,675,169,4464
1189,9508,2019,4468
1190,2651,54,4469
1191,507,147,4471
1192,2108,298,4472
1193,7633,1024,4473
1194,3736,406,4474
1195,433,86,4475
1196,1068,132,4476
1197,363,65,4478
1198,1416,347,4479
1199,618,131,4481
1200,319,91,4485
1201,860,201,4487
1202,1320,205,4488
1203,282,85,4489
1204,252,42,4490
1205,94,23,4491
1206,179,56,4492
1207,1948,391,4493
1208,420,118,4495
1209,3767,397,4496
1210,435,109,4497
1211,10777,1909,4530
1212,663,74,4535
1213,2090,239,4537
1214,1920,384,4538
1215,1192,324,4539
1216,157,15,4541
1217,1958,324,4543
1218,590,137,4544
1219,1114,248,4547
1220,998,163,4548
1221,868,127,4551
1222,1847,250,4553
1223,718,185,4554
1224,1656,163,4555
1225,1141,110,4556
1226,298,99,4558
1227,2133,419,4562
1228,1423,224,4563
1229,369,49,4564
1230,481,70,4568
1231,0,0,4570
1232,431,24,4571
1233,5030,700,4572
1234,487,73,4573
1235,1533,283,4574
1236,48,0,4575
1237,598,80,4576
1238,4279,508,4578
1239,3061,412,4579
1240,12912,2284,4605
1241,1171,246,4606
1242,1170,239,4607
1243,5188,694,4609
1244,416,90,4611
1245,639,38,4612
1246,182,34,4613
1247,2430,271,4614
1248,867,153,4616
1249,864,135,4617
1250,3015,658,4619
1251,1480,249,4622
1252,1335,336,4623
1253,140,36,4624
1254,17,10,4625
1255,496,102,4626
1256,1513,312,4627
1257,682,130,4628
1258,249,21,4629
1259,1313,212,4630
1260,1392,302,4631
1261,1929,370,4634
1262,80,5,4635
1263,123,28,4637
1264,2058,289,4640
1265,52,6,4642
1266,959,236,4643
