,total,disabled,zipcode
9872,5438,507,30563
9873,3714,610,30564
9874,4088,771,30565
9875,8539,885,30566
9876,2985,298,30567
9877,2300,398,30568
9878,3951,634,30571
9879,1528,319,30572
9880,98,5,30573
9881,1124,86,30575
9882,2384,464,30576
9883,22876,4689,30577
9884,0,0,30581
9885,4848,899,30582
9886,21343,2543,30601
9887,2562,89,30602
9888,39649,3408,30605
9889,40534,4570,30606
9890,11778,1232,30607
9891,1659,23,30609
9892,1421,296,30619
9893,12016,1296,30620
9894,4804,560,30621
9895,10153,1155,30622
9896,182,27,30623
9897,3141,552,30624
9898,2278,263,30625
9899,2080,400,30627
9900,7119,999,30628
9901,4234,782,30629
9902,2183,387,30630
9903,1848,360,30631
9904,8353,1312,30633
9905,1994,215,30634
9906,15596,2711,30635
9907,2069,147,30641
9908,10680,1224,30642
9909,16535,2758,30643
9910,6735,1096,30646
9911,3341,386,30648
9912,11620,1373,30650
9913,22567,3439,30655
9914,15767,1465,30656
9915,1123,149,30660
9916,8366,1265,30662
9917,3226,399,30663
9918,11,8,30664
9919,113,9,30665
9920,9283,1255,30666
9921,943,177,30667
9922,1891,339,30668
9923,3399,457,30669
9924,7605,1618,30673
9925,16574,1676,30677
9926,1406,275,30678
9927,38950,4981,30680
9928,6788,1228,30683
9929,38862,4761,30701
9930,33924,4925,30705
9931,16162,2885,30707
9932,273,39,30708
9933,6292,1064,30710
9934,3761,587,30711
9935,27744,3359,30720
9936,51655,6186,30721
9937,3638,733,30725
9938,0,0,30726
9939,19095,3922,30728
9940,1680,223,30730
9941,2220,263,30731
9942,1789,356,30733
9943,3436,544,30734
9944,5893,1023,30735
9945,41222,5546,30736
9946,3669,590,30738
9947,5070,839,30739
9948,8813,1161,30740
9949,30540,7523,30741
9950,6996,1250,30742
9951,1245,232,30746
9952,15143,2608,30747
9953,4563,610,30750
9954,74,20,30751
9955,9095,1782,30752
9956,7206,1073,30753
9957,9063,1551,30755
9958,217,15,30756
9959,2365,442,30757
9960,5263,615,30802
9961,655,129,30803
9962,2448,546,30805
9963,92,19,30807
9964,4627,768,30808
9965,40339,2996,30809
9966,2031,271,30810
9967,196,190,30812
9968,30982,3048,30813
9969,8238,1200,30814
9970,41419,7242,30815
9971,2263,393,30816
9972,7521,1168,30817
9973,524,76,30818
9974,1417,191,30820
9975,938,186,30821
9976,820,85,30822
9977,1660,220,30823
9978,16719,2920,30824
9979,3929,699,30828
9980,13789,2315,30830
9981,3544,454,30833
9982,15558,4076,30901
9983,406,0,30903
9984,25821,4777,30904
9985,3541,258,30905
9986,59231,10909,30906
9987,49451,5336,30907
9988,37522,5324,30909
9989,174,42,30912
9990,2745,488,31001
9991,2819,609,31002
9992,152,14,31003
9993,15405,1256,31005
9994,4551,698,31006
9995,1045,159,31007
9996,17916,2153,31008
9997,1314,238,31009
9998,1088,171,31011
9999,1484,165,31012
10000,13691,2661,31014
10001,21912,3981,31015
10002,1137,141,31016
10003,1666,231,31017
10004,1653,214,31018
10005,2265,269,31019
10006,2383,387,31020
10007,27168,3573,31021
10008,1399,190,31022
10009,13923,2331,31023
10010,20349,2904,31024
10011,1592,151,31025
10012,10796,1237,31027
10013,5104,756,31028
10014,15430,2370,31029
10015,19632,2423,31030
10016,6697,1176,31031
10017,13492,1602,31032
10018,1921,157,31033
10019,1431,251,31035
10020,10921,1818,31036
10021,2534,593,31037
10022,774,150,31038
10023,0,0,31039
10024,1050,185,31041
10025,2105,254,31042
10026,2448,292,31044
10027,77,7,31045
10028,3230,636,31046
10029,10622,1075,31047
10030,1721,291,31049
10031,1105,81,31050
10032,202,20,31051
10033,8373,1250,31052
10034,1770,369,31054
10035,7627,1376,31055
10036,2053,379,31057
10037,1401,160,31058
10038,1884,424,31060
10039,41257,5048,31061
10040,67,48,31062
10041,5533,1009,31063
10042,9156,1138,31064
10043,826,139,31065
10044,1042,205,31066
10045,224,58,31067
10046,3875,885,31068
10047,19923,2582,31069
10048,1128,121,31070
10049,1239,232,31071
10050,1494,367,31072
10051,2561,247,31075
10052,3161,447,31076
10053,1034,204,31077
10054,3222,596,31078
10055,2141,532,31079
10056,265,52,31081
10057,9900,1341,31082
10058,247,45,31083
10059,88,26,31084
10060,1153,108,31085
10061,7680,1164,31087
10062,48962,4668,31088
10063,4746,698,31089
10064,552,111,31090
10065,3073,312,31091
10066,6599,828,31092
10067,29111,4697,31093
10068,976,134,31094
10069,6268,1254,31096
10070,1215,216,31097
10071,2502,137,31098
10072,8209,1507,31201
10073,29491,4732,31204
10074,29955,4956,31206
10075,1277,43,31207
10076,31901,3282,31210
10077,16065,2513,31211
10078,0,0,31213
10079,15627,1948,31216
10080,18306,2975,31217
10081,13573,1529,31220
10082,5196,712,31301
10083,8730,1138,31302
10084,2136,338,31303
10085,0,0,31304
10086,7080,1545,31305
10087,651,69,31307
10088,6974,1358,31308
10089,944,259,31309
10090,15213,2046,31312
10091,37909,4097,31313
10092,0,0,31314
10093,6934,474,31315
10094,9493,1395,31316
10095,372,24,31318
10096,8802,1506,31320
10097,6012,966,31321
10098,21852,1798,31322
10099,1573,267,31323
10100,20274,1348,31324
10101,20016,1836,31326
10102,121,0,31327
10103,3212,313,31328
10104,9166,1278,31329
10105,6627,1567,31331
10106,20040,2651,31401
10107,31395,4241,31404
10108,35332,4677,31405
10109,33892,3953,31406
10110,8459,853,31407
10111,8608,1008,31408
10112,0,0,31409
10113,23527,2349,31410
10114,7997,892,31411
10115,11961,2164,31415
10116,53133,4944,31419
10117,13062,2599,31501
10118,20775,4221,31503
10119,9706,1754,31510
10120,2787,190,31512
10121,15964,2455,31513
10122,14448,3078,31516
10123,519,122,31518
10124,3144,497,31519
10125,20620,3712,31520
10126,14733,1521,31522
10127,14008,1882,31523
10128,0,0,31524
10129,28631,4392,31525
10130,693,149,31527
10131,1005,167,31532
10132,16113,2689,31533
10133,12143,1550,31535
10134,9510,1476,31537
10135,14065,2174,31539
10136,2678,531,31542
10137,3971,1064,31543
10138,490,61,31544
10139,15661,2847,31545
10140,6390,1390,31546
10141,217,1,31547
10142,19925,1844,31548
10143,1540,218,31549
10144,612,118,31550
10145,1089,83,31551
10146,1031,189,31552
10147,5093,1197,31553
10148,5278,989,31554
10149,2894,522,31555
10150,116,11,31556
10151,2833,753,31557
10152,19051,1849,31558
10153,2693,450,31560
10154,560,20,31561
10155,2229,218,31562
10156,1479,174,31563
10157,1462,300,31565
10158,4503,1062,31566
10159,1119,71,31567
10160,975,164,31568
10161,5223,521,31569
10162,33269,5357,31601
10163,31967,3714,31602
10164,20092,1843,31605
10165,4054,643,31606
10166,10501,1359,31620
10167,1837,348,31622
10168,105,46,31623
10169,955,192,31624
10170,1574,422,31625
10171,3555,632,31626
10172,207,36,31627
10173,819,258,31629
10174,487,44,31630
10175,701,114,31631
10176,10473,1280,31632
10177,5602,1265,31634
10178,5474,1158,31635
10179,9601,1294,31636
10180,3009,431,31637
10181,1007,160,31638
10182,10165,2037,31639
10183,1683,232,31641
10184,4864,743,31642
10185,8592,1900,31643
10186,5854,871,31645
10187,3232,567,31647
10188,1139,246,31648
10189,1373,256,31649
10190,3157,554,31650
10191,1396,28,31698
10192,0,0,31699
10193,20898,3417,31701
10194,33752,4667,31705
10195,25314,3870,31707
10196,15410,2187,31709
10197,810,181,31711
10198,1002,236,31712
10199,6110,1228,31714
10200,2817,392,31716
10201,10102,1540,31719
10202,494,80,31720
10203,19702,2305,31721
10204,530,93,31722
10205,9305,1360,31730
10206,2079,315,31733
10207,821,70,31735
10208,1835,330,31738
10209,419,115,31743
10210,2747,387,31744
10211,147,46,31747
10212,2903,342,31749
10213,18687,4748,31750
10214,1303,320,31756
10215,10138,1615,31757
10216,22484,2737,31763
10217,1395,223,31764
10218,2804,547,31765
10219,23643,3312,31768
10220,6207,833,31771
10221,541,90,31772
10222,3406,792,31773
10223,5355,1121,31774
10224,2835,536,31775
10225,2317,552,31778
10226,8071,1604,31779
10227,2063,481,31780
10228,1921,403,31781
10229,986,157,31783
10230,764,115,31784
10231,1186,177,31787
10232,9742,1329,31788
10233,1736,155,31789
10234,1821,461,31790
10235,11476,1779,31791
10236,23385,3541,31792
10237,9098,632,31793
10238,25721,4330,31794
10239,2431,318,31795
10240,1185,358,31796
10241,869,120,31798
10242,2360,764,31801
10243,6594,1184,31803
10244,5969,570,31804
10245,3335,775,31805
10246,4785,852,31806
10247,2448,481,31807
10248,6663,960,31808
10249,217,71,31810
10250,4781,744,31811
10251,399,61,31812
10252,254,90,31814
10253,1931,525,31815
10254,5632,1052,31816
10255,8401,1054,31820
10256,442,169,31821
10257,5638,903,31822
10258,721,110,31823
10259,1854,360,31824
10260,2781,783,31825
10261,3048,642,31826
10262,2647,534,31827
10263,1101,91,31829
10264,1927,404,31830
10265,3256,513,31831
10266,127,45,31832
10267,7777,1511,31833
10268,881,192,31836
10269,6893,1719,31901
10270,21688,4852,31903
10271,31553,6363,31904
10272,9648,1064,31905
10273,20300,3953,31906
10274,53667,10232,31907
10275,33096,4924,31909
10276,28419,2749,32003
10277,5454,1466,32008
10278,3138,285,32009
10279,14526,1946,32011
10280,20526,3504,32024
10281,19814,3423,32025
10282,5,0,32026
10283,4679,655,32033
10284,31112,4911,32034
10285,8166,2104,32038
10286,6972,1040,32040
10287,24395,3189,32043
10288,2099,402,32044
10289,8998,1218,32046
10290,5616,1281,32052
10291,3970,954,32053
10292,8955,1399,32054
10293,16127,3481,32055
10294,3611,646,32058
10295,2197,367,32059
10296,22164,3390,32060
10297,165,16,32061
10298,2117,362,32062
10299,13247,1879,32063
10300,6398,1358,32064
10301,35392,3573,32065
10302,5829,893,32066
10303,48195,7008,32068
10304,2602,567,32071
10305,194,0,32072
10306,38288,5762,32073
10307,229,109,32079
10308,21425,2417,32080
10309,4670,256,32081
10310,29414,2590,32082
10311,1656,235,32083
10312,30580,4430,32084
10313,24949,3636,32086
10314,4254,393,32087
10315,14279,2759,32091
10316,29775,2092,32092
10317,2089,308,32094
10318,6132,696,32095
10319,2587,511,32096
10320,15447,2302,32097
10321,2040,434,32102
10322,7281,1252,32110
10323,8322,1502,32112
10324,5313,1103,32113
10325,31790,5551,32114
10326,24846,4936,32117
10327,15838,2832,32118
10328,20570,3035,32119
10329,2773,273,32124
10330,29826,5121,32127
10331,16858,1965,32128
10332,20214,2811,32129
10333,5743,540,32130
10334,3937,500,32131
10335,6664,1281,32132
10336,77,0,32133
10337,7914,1589,32134
10338,7496,1178,32136
10339,35950,5204,32137
10340,1132,233,32139
10341,1023,204,32140
10342,18005,3289,32141
10343,4779,896,32145
10344,69,0,32147
10345,10630,2214,32148
10346,450,54,32157
10347,29180,6510,32159
10348,49798,8563,32162
10349,44894,7112,32164
10350,24339,3793,32168
10351,9754,1439,32169
10352,46255,7087,32174
10353,13981,2278,32176
10354,26134,3765,32177
10355,6862,1409,32179
10356,4104,552,32180
10357,2186,440,32181
10358,1996,392,32187
10359,6043,1137,32189
10360,550,93,32190
10361,1191,175,32193
10362,3060,634,32195
10363,3613,1164,32202
10364,6007,867,32204
10365,29637,4083,32205
10366,17058,3429,32206
10367,32307,4162,32207
10368,29602,5350,32208
10369,35155,6332,32209
10370,57974,9018,32210
10371,30669,4635,32211
10372,666,42,32212
10373,33546,4131,32216
10374,19492,2337,32217
10375,54479,6311,32218
10376,10891,1530,32219
10377,14604,1776,32220
10378,28201,3736,32221
10379,9798,1600,32222
10380,24363,2963,32223
10381,35410,2769,32224
10382,52300,4634,32225
10383,16186,1678,32226
10384,1247,17,32227
10385,0,0,32228
10386,21543,2042,32233
10387,5905,1070,32234
10388,60044,7519,32244
10389,49281,4719,32246
10390,25632,2779,32250
10391,13039,2256,32254
10392,39675,3565,32256
10393,35814,4053,32257
10394,26992,1520,32258
10395,38822,2712,32259
10396,6692,519,32266
10397,28731,2883,32277
10398,28436,2620,32301
10399,46535,3446,32303
10400,46320,2895,32304
10401,20331,3009,32305
10402,21673,2443,32308
10403,31651,3092,32309
10404,16740,2623,32310
10405,18326,1683,32311
10406,31868,2495,32312
10407,13298,823,32317
10408,3085,669,32320
10409,5036,1032,32321
10410,2861,824,32322
10411,190,61,32323
10412,4303,1216,32324
10413,23942,3845,32327
10414,3150,651,32328
10415,863,68,32330
10416,4721,1240,32331
10417,1656,256,32332
10418,10282,1763,32333
10419,1731,311,32334
10420,1548,429,32336
10421,9361,1966,32340
10422,3107,279,32343
10423,10930,2034,32344
10424,1435,623,32346
10425,7960,1579,32347
10426,9349,2163,32348
10427,1832,488,32350
10428,17528,2345,32351
10429,6770,946,32352
10430,246,50,32355
10431,78,46,32356
10432,2025,425,32358
10433,1565,453,32359
10434,85,29,32361
10435,0,0,32399
10436,22821,4439,32401
10437,2312,54,32403
10438,35194,5685,32404
10439,30135,4205,32405
10440,8915,1141,32407
10441,16159,2232,32408
10442,8581,1387,32409
10443,1031,189,32410
10444,12392,2048,32413
10445,2033,452,32420
10446,4776,1193,32421
10447,1083,159,32423
10448,5912,1720,32424
10449,12288,2934,32425
10450,752,207,32426
10451,1290,196,32427
10452,15003,2999,32428
10453,869,205,32430
10454,4086,947,32431
10455,53,21,32432
10456,14610,2869,32433
10457,7361,1697,32435
10458,838,177,32437
10459,4057,586,32438
10460,7832,1582,32439
10461,6031,1096,32440
10462,4132,609,32442
10463,2760,498,32443
10464,19070,2781,32444
10465,1582,284,32445
10466,9317,1568,32446
10467,10,0,32447
10468,8294,2541,32448
10469,722,160,32449
10470,4322,934,32455
10471,7230,1480,32456
10472,12297,1275,32459
10473,3846,823,32460
10474,28,0,32461
10475,3776,890,32462
10476,101,29,32463
10477,3877,898,32464
10478,6577,1354,32465
10479,6061,1222,32466
10480,9406,1837,32501
10481,2845,569,32502
10482,33990,4560,32503
10483,21695,2978,32504
10484,25103,4631,32505
10485,34707,5166,32506
10486,26449,3874,32507
10487,776,7,32508
10488,0,0,32509
10489,0,0,32511
10490,37791,5597,32514
10491,34763,5124,32526
10492,98,0,32530
10493,5464,1013,32531
10494,27252,4367,32533
10495,14160,2204,32534
10496,4262,866,32535
10497,20001,2602,32536
10498,22680,3506,32539
10499,15599,1668,32541
10500,1929,5,32542
10501,774,67,32544
10502,32482,4723,32547
10503,19319,3037,32548
10504,6034,532,32550
10505,8815,815,32561
10506,23722,2538,32563
10507,2790,516,32564
10508,5394,1191,32565
10509,33077,3545,32566
10510,3275,953,32567
10511,2981,545,32568
10512,10423,1693,32569
10513,27045,5299,32570
10514,29995,3618,32571
10515,4487,717,32577
10516,29314,3540,32578
10517,9940,1559,32579
10518,3644,585,32580
10519,22461,3764,32583
10520,19252,1926,32601
10521,8688,286,32603
10522,22621,2357,32605
10523,23150,2713,32606
10524,30286,1740,32607
10525,43519,3359,32608
10526,16443,3119,32609
10527,6564,182,32612
10528,14969,1869,32615
10529,430,160,32616
10530,4351,822,32617
10531,7630,989,32618
10532,4566,1123,32619
10533,5305,1471,32621
10534,1272,191,32622
10535,1671,296,32625
10536,8427,1876,32626
10537,4455,1040,32628
10538,275,41,32631
10539,50,20,32639
10540,11102,1633,32640
10541,12144,1984,32641
10542,10417,1738,32643
10543,337,113,32648
10544,14103,1452,32653
10545,13561,2346,32656
10546,182,17,32658
10547,373,69,32664
10548,6520,778,32666
10549,3544,653,32667
10550,4799,975,32668
10551,11190,1537,32669
10552,9765,2477,32680
10553,138,0,32681
10554,337,104,32683
10555,5977,1002,32686
10556,263,55,32692
10557,11616,2434,32693
10558,2766,409,32694
10559,10773,2084,32696
10560,249,18,32697
10561,21226,2786,32701
10562,2365,736,32702
10563,47502,5164,32703
10564,34655,4032,32707
10565,43026,4152,32708
10566,2271,374,32709
10567,42387,4262,32712
10568,19405,2857,32713
10569,34970,3305,32714
10570,30705,4467,32720
10571,31407,4191,32724
10572,45489,6370,32725
10573,19603,3290,32726
10574,5485,793,32730
10575,3777,409,32732
10576,3371,615,32735
10577,9603,1372,32736
10578,43302,4643,32738
10579,3333,425,32744
10580,40960,3258,32746
10581,22972,3023,32750
10582,20536,1882,32751
10583,10138,1894,32754
10584,23101,3236,32757
10585,2797,736,32759
10586,20851,3900,32763
10587,3576,645,32764
10588,57917,5249,32765
10589,15335,840,32766
10590,2799,648,32767
10591,47445,5345,32771
10592,27741,3157,32773
10593,9853,848,32776
10594,18684,3631,32778
10595,28512,2509,32779
10596,34353,5219,32780
10597,11332,1595,32784
10598,24397,2817,32789
10599,48802,4895,32792
10600,20815,4270,32796
10601,2623,792,32798
10602,11073,1502,32801
10603,17606,1452,32803
10604,16758,1491,32804
10605,21516,3902,32805
10606,24862,2586,32806
10607,32422,3761,32807
10608,49866,6449,32808
10609,25112,3096,32809
10610,33430,4614,32810
10611,38143,3909,32811
10612,36673,3560,32812
10613,5989,127,32814
10614,32874,2883,32817
10615,45835,5141,32818
10616,25455,2116,32819
10617,8767,648,32820
10618,16265,1868,32821
10619,55814,7942,32822
10620,36515,3247,32824
10621,58919,5683,32825
10622,29856,2057,32826
10623,6576,526,32827
10624,58491,4417,32828
10625,20175,1463,32829
10626,7,7,32830
10627,178,0,32831
10628,16117,671,32832
10629,9014,842,32833
10630,43375,3521,32835
10631,17137,976,32836
10632,52929,3780,32837
10633,42967,3871,32839
10634,24038,4503,32901
10635,12954,1435,32903
10636,26825,3368,32904
10637,22054,3247,32905
10638,41591,5515,32907
10639,11054,1756,32908
10640,30316,4353,32909
10641,9788,1420,32920
10642,14945,3275,32922
10643,869,133,32925
10644,21613,3789,32926
10645,24645,3592,32927
10646,13931,2238,32931
10647,17473,2168,32934
10648,39850,6307,32935
10649,25139,3035,32937
10650,33407,3700,32940
10651,7449,543,32948
10652,2513,589,32949
10653,3917,580,32950
10654,11292,1476,32951
10655,20182,2547,32952
10656,21803,3713,32953
10657,35563,5078,32955
10658,25698,4661,32958
10659,19348,3330,32960
10660,21465,3356,32962
10661,14894,1868,32963
10662,15415,3203,32966
10663,19890,2739,32967
10664,13426,1580,32968
10665,570,97,32970
10666,8804,2444,32976
10667,211,25,33001
10668,15383,2046,33004
10669,39843,4862,33009
10670,45672,6896,33010
10671,73591,9472,33012
10672,32168,4654,33013
10673,40469,4404,33014
10674,64848,4250,33015
10675,48213,4459,33016
10676,46900,3425,33018
10677,14164,1718,33019
10678,41066,5902,33020
10679,46939,5789,33021
10680,64817,6819,33023
10681,69569,7533,33024
10682,57202,3828,33025
10683,29715,2681,33026
10684,57391,6629,33027
10685,27483,1705,33028
10686,46983,3160,33029
10687,33414,4547,33030
10688,6377,754,33031
10689,36910,4318,33032
10690,50772,6048,33033
10691,17684,2646,33034
10692,13756,1020,33035
10693,3828,519,33036
10694,12212,1843,33037
10695,307,35,33039
10696,31753,3717,33040
10697,6269,920,33042
10698,3929,495,33043
10699,8847,994,33050
10700,629,124,33051
10701,29477,2867,33054
10702,45912,4944,33055
10703,34540,3189,33056
10704,33862,5312,33060
10705,22223,3829,33062
10706,52474,7177,33063
10707,54175,5967,33064
10708,53433,6038,33065
10709,16178,4233,33066
10710,25285,1413,33067
10711,50133,4266,33068
10712,23553,4335,33069
10713,4600,637,33070
10714,38340,2879,33071
10715,29477,1801,33073
10716,31088,1870,33076
10717,0,0,33101
10718,508,30,33109
10719,0,0,33122
10720,52554,8282,33125
10721,47201,6509,33126
10722,29830,4255,33127
10723,7096,964,33128
10724,14198,1173,33129
10725,24229,2879,33130
10726,14509,373,33131
10727,8586,489,33132
10728,33029,2796,33133
10729,39291,4296,33134
10730,35330,5339,33135
10731,12799,1797,33136
10732,19763,1653,33137
10733,29232,2849,33138
10734,37421,3482,33139
10735,22160,2156,33140
10736,36794,5296,33141
10737,51829,7012,33142
10738,31031,2722,33143
10739,25914,3413,33144
10740,30632,4148,33145
10741,15361,1022,33146
10742,43306,6174,33147
10743,12560,581,33149
10744,26989,3084,33150
10745,14196,1832,33154
10746,46708,5439,33155
10747,32065,2248,33156
10748,67177,7733,33157
10749,6777,435,33158
10750,37522,4046,33160
10751,53110,4766,33161
10752,45589,3646,33162
10753,56027,7144,33165
10754,20662,2003,33166
10755,19766,1803,33167
10756,27984,2451,33168
10757,38370,3343,33169
10758,11948,1819,33170
10759,38890,2280,33172
10760,35146,3186,33173
10761,29367,2590,33174
10762,52241,4928,33175
10763,50982,4545,33176
10764,54815,5451,33177
10765,41100,1300,33178
10766,41756,3815,33179
10767,32684,3300,33180
10768,17578,1465,33181
10769,14401,880,33182
10770,37087,3533,33183
10771,21157,1646,33184
10772,28968,2293,33185
10773,71197,5503,33186
10774,17132,1757,33187
10775,23075,2818,33189
10776,11853,915,33190
10777,45852,3173,33193
10778,5208,358,33194
10779,44329,2554,33196
10780,12680,900,33301
10781,18457,2205,33304
10782,12000,1665,33305
10783,3403,389,33306
10784,26408,3900,33308
10785,34974,3749,33309
10786,64944,12792,33311
10787,52693,6641,33312
10788,56555,6192,33313
10789,22028,2353,33314
10790,12176,1433,33315
10791,10644,1032,33316
10792,35285,3286,33317
10793,46362,6007,33319
10794,44050,6755,33321
10795,37186,5857,33322
10796,19682,1593,33323
10797,44757,4308,33324
10798,29767,2371,33325
10799,32037,1736,33326
10800,21595,994,33327
10801,28758,2493,33328
10802,13559,1073,33330
10803,23762,1546,33331
10804,11110,592,33332
10805,28686,2988,33334
10806,34036,3115,33351
10807,24412,2682,33401
10808,11646,1256,33403
10809,26851,3563,33404
10810,21049,1947,33405
10811,24857,2087,33406
10812,27727,3018,33407
10813,17553,2352,33408
10814,30181,2706,33409
10815,33003,3572,33410
10816,62714,6621,33411
10817,13381,975,33412
10818,14661,1621,33413
10819,54449,4304,33414
10820,44257,5207,33415
10821,30482,5457,33417
10822,36476,3769,33418
10823,20057,2912,33426
10824,38810,3671,33428
10825,20100,2420,33430
10826,17955,1721,33431
10827,18970,2161,33432
10828,42383,6027,33433
10829,19725,3504,33434
10830,33098,4586,33435
10831,42284,5832,33436
10832,36868,6929,33437
10833,436,98,33438
10834,19256,2872,33440
10835,26494,3351,33441
10836,28590,5676,33442
10837,21356,2342,33444
10838,29892,4166,33445
10839,22112,5481,33446
10840,10223,684,33449
10841,20017,3291,33455
10842,50411,3806,33458
10843,30863,2616,33460
10844,41007,3425,33461
10845,31938,3199,33462
10846,56751,3839,33463
10847,51594,6582,33467
10848,13878,1597,33469
10849,25566,2410,33470
10850,6498,1100,33471
10851,19542,2274,33472
10852,6098,131,33473
10853,7700,1026,33476
10854,12414,1900,33477
10855,12370,1045,33478
10856,9559,1932,33480
10857,12102,1489,33483
10858,23736,6105,33484
10859,21953,1777,33486
10860,17332,1608,33487
10861,2548,411,33493
10862,22322,2762,33496
10863,14582,1395,33498
10864,64,24,33503
10865,26577,2823,33510
10866,51220,5515,33511
10867,9642,1932,33513
10868,1980,293,33514
10869,517,108,33521
10870,18447,2861,33523
10871,17490,2733,33525
10872,15281,1481,33527
10873,14124,1610,33534
10874,4890,1111,33538
10875,9369,2179,33540
10876,20298,4052,33541
10877,20896,4885,33542
10878,22226,1852,33543
10879,23839,2523,33544
10880,13591,1405,33545
10881,20763,1354,33547
10882,5797,507,33548
10883,15200,2304,33549
10884,20597,1666,33556
10885,20502,1886,33558
10886,16935,1608,33559
10887,26185,3027,33563
10888,18436,2683,33565
10889,20416,2177,33566
10890,10755,1118,33567
10891,23696,2675,33569
10892,21014,2630,33570
10893,15253,1677,33572
10894,19231,5171,33573
10895,3802,608,33576
10896,39227,3751,33578
10897,25631,2360,33579
10898,25005,2957,33584
10899,1383,248,33585
10900,10854,2035,33592
10901,33306,3456,33594
10902,29530,2602,33596
10903,7922,1569,33597
10904,13246,1214,33598
10905,11163,1378,33602
10906,19973,2906,33603
10907,37871,5865,33604
10908,16344,2777,33605
10909,17562,1193,33606
10910,24241,4187,33607
10911,16963,1753,33609
10912,40154,5812,33610
10913,30397,3318,33611
10914,45736,7996,33612
10915,30336,4583,33613
10916,47703,6217,33614
10917,45099,5588,33615
10918,13253,1528,33616
10919,43587,5425,33617
10920,24665,2723,33618
10921,31591,4945,33619
10922,4282,49,33620
10923,1517,69,33621
10924,38763,4481,33624
10925,25117,2597,33625
10926,27565,1371,33626
10927,23623,1762,33629
10928,19642,2730,33634
10929,15914,1584,33635
10930,15532,1441,33637
10931,59155,3858,33647
10932,13934,2561,33701
10933,29820,3495,33702
10934,23435,2488,33703
10935,16626,1715,33704
10936,25782,4422,33705
10937,15994,2094,33706
10938,24255,4739,33707
10939,14892,2231,33708
10940,24703,4621,33709
10941,32186,4007,33710
10942,18700,2909,33711
10943,25059,3700,33712
10944,30482,4016,33713
10945,18906,3130,33714
10946,6557,800,33715
10947,14577,1064,33716
10948,64,44,33744
10949,24238,3249,33755
10950,29486,4499,33756
10951,16984,2265,33759
10952,15537,1895,33760
10953,18915,2659,33761
10954,5357,733,33762
10955,18901,3165,33763
10956,25029,3418,33764
10957,13271,1769,33765
10958,8689,1210,33767
10959,25582,3968,33770
10960,27059,5040,33771
10961,22471,3573,33772
10962,17868,2463,33773
10963,18254,2508,33774
10964,12920,1120,33776
10965,16510,2010,33777
10966,14405,2521,33778
10967,25327,3711,33781
10968,21651,3308,33782
10969,5570,467,33785
10970,1536,137,33786
10971,33528,6309,33801
10972,26755,3185,33803
10973,23567,4341,33805
10974,28669,4670,33809
10975,47738,6944,33810
10976,19989,1797,33811
10977,13821,1207,33812
10978,31118,2846,33813
10979,14389,2655,33815
10980,28291,4954,33823
10981,24110,4594,33825
10982,2771,534,33827
10983,25682,4015,33830
10984,6321,684,33834
10985,19783,2909,33837
10986,3611,624,33838
10987,2880,401,33839
10988,8819,1486,33841
10989,9916,2085,33843
10990,34428,4313,33844
10991,212,42,33847
10992,1672,119,33848
10993,797,78,33849
10994,7261,1531,33850
10995,863,76,33851
10996,19846,3945,33852
10997,10812,1877,33853
10998,108,25,33854
10999,16,0,33855
11000,465,193,33856
11001,1796,289,33857
11002,10699,1564,33859
11003,22459,2645,33860
11004,692,115,33865
11005,373,94,33867
11006,10468,1928,33868
11007,21004,4264,33870
11008,14204,2803,33872
11009,13263,1587,33873
11010,10597,1624,33875
11011,4916,1245,33876
11012,317,69,33877
11013,36065,5032,33880
11014,30040,5194,33881
11015,28564,3858,33884
11016,5449,677,33890
11017,8746,1226,33896
11018,15827,2316,33897
11019,15409,2875,33898
11020,17768,3509,33901
11021,19116,4159,33903
11022,29518,4822,33904
11023,28463,4068,33905
11024,19743,3063,33907
11025,32994,5170,33908
11026,24072,2121,33909
11027,16330,2463,33912
11028,17529,1317,33913
11029,37614,4063,33914
11030,22897,3115,33916
11031,29658,5831,33917
11032,28294,3852,33919
11033,5281,886,33920
11034,1172,141,33921
11035,4217,776,33922
11036,180,10,33924
11037,20300,2482,33928
11038,1022,108,33930
11039,10124,1712,33931
11040,17994,2829,33935
11041,22162,3952,33936
11042,359,0,33944
11043,36,26,33945
11044,1676,190,33946
11045,8175,1541,33947
11046,15745,2706,33948
11047,19530,3712,33950
11048,28884,6369,33952
11049,5058,912,33953
11050,10114,1842,33954
11051,8823,1645,33955
11052,3451,696,33956
11053,6630,715,33957
11054,1057,228,33960
11055,1011,36,33965
11056,8605,771,33966
11057,23774,2689,33967
11058,23369,2069,33971
11059,12498,1607,33972
11060,12837,853,33973
11061,13819,1834,33974
11062,14872,1309,33976
11063,10374,2207,33980
11064,9638,1725,33981
11065,9417,1821,33982
11066,14510,2488,33983
11067,29844,4394,33990
11068,16624,1800,33991
11069,22231,2226,33993
11070,0,0,34101
11071,10513,1708,34102
11072,12315,1493,34103
11073,24638,3347,34104
11074,15296,1850,34105
11075,17071,1946,34108
11076,24380,3431,34109
11077,21269,2684,34110
11078,25261,3425,34112
11079,17803,2084,34113
11080,14325,1907,34114
11081,33528,2826,34116
11082,14983,1620,34117
11083,24307,2520,34119
11084,26567,1981,34120
11085,13621,1847,34134
11086,38418,4223,34135
